detectorID,laneType,speed,totalOccupancy,totalVolume
AID01101,Fast Lane,69.5,150,64
AID01101,Middle Lane,63.858333333333334,531,172
AID01101,Slow Lane,60.233333333333334,294,67
AID01102,Fast Lane,72.425,109,46
AID01102,Middle Lane,68.75,562,198
AID01102,Slow Lane,69.125,321,90
AID01103,Fast Lane,55.61666666666667,257,108
AID01103,Middle Lane,61.00833333333333,658,219
AID01103,Slow Lane,48.225,650,122
AID01104,Fast Lane,54.40833333333333,285,111
AID01104,Slow Lane,61.45,512,165
AID01105,Fast Lane,59.31666666666667,314,131
AID01105,Slow Lane,59.19166666666667,405,148
AID01106,Fast Lane,56.28333333333333,687,239
AID01106,Slow Lane,50.50833333333333,595,152
AID01107,Fast Lane,65.24166666666666,681,234
AID01107,Slow Lane,58.416666666666664,589,127
AID01108,Fast Lane,72.53333333333333,575,231
AID01108,Slow Lane,70.45833333333333,178,61
AID01109,Fast Lane,68.04166666666667,671,241
AID01109,Middle Lane,63.208333333333336,488,133
AID01109,Slow Lane,58.791666666666664,610,117
AID01110,Fast Lane,65.29166666666667,751,262
AID01110,Middle Lane,62.18333333333333,831,279
AID01110,Slow Lane,60.475,707,217
AID01111,Fast Lane,64.70833333333333,1616,573
AID01111,Middle Lane 1,55.766666666666666,1057,379
AID01111,Middle Lane 2,61.233333333333334,836,249
AID01111,Slow Lane,53.88333333333333,1271,414
AID01112,Fast Lane,57.9,1412,438
AID01112,Middle Lane 1,51.958333333333336,888,282
AID01112,Middle Lane 2,60.46666666666667,1265,391
AID01112,Slow Lane,44.09166666666667,2463,588
AID01113,Fast Lane,74.40833333333333,615,251
AID01113,Middle Lane,63.74166666666667,1019,337
AID01113,Slow Lane,66.41666666666667,420,86
AID01114,Fast Lane,70.625,566,234
AID01114,Middle Lane,63.975,935,343
AID01114,Slow Lane,61.833333333333336,505,131
AID01115,Fast Lane,69.06666666666666,698,269
AID01115,Middle Lane,62.25,638,247
AID01115,Slow Lane,53.78333333333333,679,186
AID01116,Fast Lane,73.28333333333333,635,265
AID01116,Slow Lane,67.175,729,215
AID01117,Fast Lane,58.15,692,266
AID01117,Middle Lane 1,47.55,488,107
AID01117,Middle Lane 2,58.641666666666666,1600,486
AID01117,Slow Lane,49.075,299,71
AID01118,Fast Lane,65.40833333333333,647,198
AID01118,Middle Lane,59.00833333333333,1677,523
AID01118,Slow Lane,46.425,416,117
AID01120,Fast Lane,57.6,911,321
AID01120,Middle Lane,53.266666666666666,1026,347
AID01120,Slow Lane,46.5,970,203
AID01121,Fast Lane,65.29166666666667,998,381
AID01121,Slow Lane,61.925,721,262
AID01122,Fast Lane,60.34166666666667,1064,420
AID01122,Slow Lane,60.56666666666667,644,224
AID01123,Fast Lane,49.55833333333333,2091,600
AID01123,Slow Lane,55.025,1656,379
AID01124,Fast Lane,68.26666666666667,1255,498
AID01124,Slow Lane,46.99166666666667,852,344
AID01125,Fast Lane,85.65,979,442
AID01125,Slow Lane,80.46666666666667,874,334
AID01126,Fast Lane,84.90833333333333,805,455
AID01126,Slow Lane,79.89166666666667,983,486
AID01127,Fast Lane,87.10833333333333,979,439
AID01127,Slow Lane,83.74166666666666,1416,504
AID01128,Fast Lane,77.35833333333333,721,351
AID01128,Slow Lane,73.74166666666666,1133,453
AID01129,Fast Lane,76.50833333333334,700,321
AID01129,Slow Lane,75.28333333333333,1301,474
AID01130,Fast Lane,82.46666666666667,491,234
AID01130,Middle Lane 1,81.53333333333333,497,157
AID01130,Middle Lane 2,78.86666666666666,659,258
AID01130,Slow Lane,80.00833333333334,406,132
AID01131,Fast Lane,82.33333333333333,379,192
AID01131,Slow Lane,84.46666666666667,629,282
AID01132,Fast Lane,88.7,371,185
AID01132,Middle Lane,81.31666666666666,696,294
AID01132,Slow Lane,77.56666666666666,230,60
AID01133,Fast Lane,82.35833333333333,369,186
AID01133,Slow Lane,73.90833333333333,620,256
AID01134,Fast Lane,82.35833333333333,421,226
AID01134,Slow Lane,83.41666666666667,486,210
AID01135,Fast Lane,81.85833333333333,468,207
AID01135,Slow Lane,92.81666666666666,488,253
AID01136,Fast Lane,83.61666666666666,741,330
AID01136,Slow Lane,83.83333333333333,468,188
AID01201,Fast Lane,68.33333333333333,839,205
AID01201,Slow Lane,54.425,1565,455
AID01202,Fast Lane,61.86666666666667,666,229
AID01202,Slow Lane,56.31666666666667,481,142
AID01203,Fast Lane,68.775,455,197
AID01203,Slow Lane,68.025,524,201
AID01204,Fast Lane,42.425,914,132
AID01204,Middle Lane,43.71666666666667,1002,211
AID01204,Slow Lane,46.95,554,76
AID01206,Fast Lane,53.725,1137,354
AID01206,Slow Lane,50.65,772,252
AID01207,Fast Lane,57.88333333333333,500,217
AID01207,Middle Lane 1,52.916666666666664,599,166
AID01207,Middle Lane 2,64.73333333333333,689,262
AID01207,Slow Lane,51.775,222,50
AID01208,Fast Lane,67.75833333333334,551,235
AID01208,Slow Lane,60.7,885,256
AID01209,Fast Lane,75.375,457,200
