detectorID,laneType,speed,totalOccupancy,totalVolume
AID01101,Fast Lane,69.28333333333333,288,100
AID01101,Middle Lane,58.175,481,156
AID01101,Slow Lane,59.68333333333333,307,71
AID01102,Fast Lane,70.93333333333334,159,71
AID01102,Middle Lane,68.79166666666667,592,212
AID01102,Slow Lane,68.95,305,109
AID01103,Fast Lane,60.05833333333333,366,115
AID01103,Middle Lane,56.625,924,259
AID01103,Slow Lane,44.43333333333333,1599,48
AID01104,Fast Lane,53.95,681,101
AID01104,Slow Lane,57.1,624,182
AID01105,Fast Lane,64.45833333333333,355,128
AID01105,Slow Lane,65.45833333333333,501,175
AID01106,Fast Lane,50.166666666666664,467,204
AID01106,Slow Lane,49.016666666666666,260,92
AID01107,Fast Lane,55.358333333333334,437,213
AID01107,Slow Lane,53.041666666666664,203,72
AID01108,Fast Lane,63.11666666666667,379,202
AID01108,Slow Lane,66.25,180,71
AID01109,Fast Lane,58.666666666666664,555,209
AID01109,Middle Lane,61.21666666666667,309,130
AID01109,Slow Lane,54.45,970,218
AID01110,Fast Lane,50.1,756,275
AID01110,Middle Lane,54.891666666666666,903,308
AID01110,Slow Lane,62.5,267,94
AID01111,Fast Lane,62.15,833,392
AID01111,Middle Lane 1,55.916666666666664,701,243
AID01111,Middle Lane 2,66.75,358,152
AID01111,Slow Lane,56.53333333333333,783,262
AID01112,Fast Lane,54.541666666666664,800,246
AID01112,Middle Lane 1,51.75833333333333,490,154
AID01112,Middle Lane 2,53.708333333333336,627,283
AID01112,Slow Lane,50.25,876,360
AID01113,Fast Lane,65.99166666666666,504,187
AID01113,Middle Lane,62.71666666666667,732,260
AID01113,Slow Lane,63.141666666666666,250,65
AID01114,Fast Lane,65.75833333333334,469,178
AID01114,Middle Lane,53.041666666666664,840,277
AID01114,Slow Lane,64.30833333333334,263,79
AID01115,Fast Lane,65.26666666666667,473,182
AID01115,Middle Lane,63.11666666666667,464,160
AID01115,Slow Lane,57.59166666666667,415,142
AID01116,Fast Lane,60.78333333333333,477,173
AID01116,Slow Lane,58.0,633,152
AID01117,Fast Lane,60.725,266,180
AID01117,Middle Lane 1,52.05,191,97
AID01117,Middle Lane 2,61.391666666666666,614,298
AID01117,Slow Lane,50.99166666666667,136,56
AID01118,Fast Lane,61.75,1214,163
AID01118,Middle Lane,57.516666666666666,666,318
AID01118,Slow Lane,48.675,182,59
AID01120,Fast Lane,55.666666666666664,378,189
AID01120,Middle Lane,55.016666666666666,547,236
AID01120,Slow Lane,50.74166666666667,329,99
AID01121,Fast Lane,58.708333333333336,484,217
AID01121,Slow Lane,58.766666666666666,525,168
AID01122,Fast Lane,61.75833333333333,624,248
AID01122,Slow Lane,59.55,402,131
AID01123,Fast Lane,43.59166666666667,1485,403
AID01123,Slow Lane,39.09166666666667,1054,294
AID01124,Fast Lane,69.40833333333333,767,342
AID01124,Slow Lane,55.15,850,211
AID01125,Fast Lane,77.125,772,311
AID01125,Slow Lane,72.60833333333333,634,232
AID01126,Fast Lane,79.375,707,303
AID01126,Slow Lane,72.64166666666667,974,364
AID01127,Fast Lane,77.775,782,319
AID01127,Slow Lane,71.39166666666667,987,370
AID01128,Fast Lane,76.29166666666667,659,285
AID01128,Slow Lane,71.94166666666666,926,356
AID01129,Fast Lane,59.30833333333333,7743,253
AID01129,Slow Lane,73.58333333333333,894,356
AID01130,Fast Lane,75.025,384,180
AID01130,Middle Lane 1,72.975,242,100
AID01130,Middle Lane 2,71.28333333333333,528,202
AID01130,Slow Lane,74.63333333333334,267,101
AID01131,Fast Lane,82.13333333333334,312,162
AID01131,Slow Lane,76.14166666666667,496,215
AID01132,Fast Lane,82.99166666666666,316,143
AID01132,Middle Lane,76.55833333333334,661,251
AID01132,Slow Lane,76.60833333333333,110,35
AID01133,Fast Lane,80.775,322,151
