detectorID,laneType,speed,totalOccupancy,totalVolume
AID01101,Fast Lane,70.425,174,68
AID01101,Middle Lane,61.65833333333333,566,190
AID01101,Slow Lane,61.958333333333336,264,61
AID01102,Fast Lane,67.41666666666667,104,43
AID01102,Middle Lane,69.00833333333334,564,197
AID01102,Slow Lane,66.8,373,147
AID01103,Fast Lane,60.666666666666664,241,105
AID01103,Middle Lane,66.74166666666666,816,266
AID01103,Slow Lane,52.55833333333333,647,107
AID01104,Fast Lane,53.30833333333333,260,105
AID01104,Slow Lane,62.84166666666667,547,179
AID01105,Fast Lane,56.95,275,110
AID01105,Slow Lane,57.86666666666667,445,162
AID01106,Fast Lane,55.2,641,217
AID01106,Slow Lane,49.766666666666666,556,143
AID01107,Fast Lane,65.40833333333333,629,211
AID01107,Slow Lane,51.541666666666664,557,113
AID01108,Fast Lane,72.94166666666666,551,222
AID01108,Slow Lane,72.03333333333333,194,62
AID01109,Fast Lane,66.4,642,216
AID01109,Middle Lane,59.4,635,183
AID01109,Slow Lane,58.55,822,159
AID01110,Fast Lane,63.53333333333333,795,269
AID01110,Middle Lane,48.94166666666667,1086,340
AID01110,Slow Lane,56.25833333333333,953,291
AID01111,Fast Lane,65.66666666666667,1696,622
AID01111,Middle Lane 1,57.708333333333336,1470,484
AID01111,Middle Lane 2,61.50833333333333,984,290
AID01111,Slow Lane,53.65833333333333,1281,423
AID01112,Fast Lane,56.75833333333333,1569,482
AID01112,Middle Lane 1,49.18333333333333,1255,374
AID01112,Middle Lane 2,63.825,1417,443
AID01112,Slow Lane,43.61666666666667,2733,640
AID01113,Fast Lane,73.48333333333333,756,314
AID01113,Middle Lane,69.48333333333333,1179,432
AID01113,Slow Lane,66.56666666666666,471,72
AID01114,Fast Lane,69.95,747,312
AID01114,Middle Lane,64.16666666666667,1096,407
AID01114,Slow Lane,60.21666666666667,539,139
AID01115,Fast Lane,70.04166666666667,900,359
AID01115,Middle Lane,61.19166666666667,690,279
AID01115,Slow Lane,54.766666666666666,700,228
AID01116,Fast Lane,73.525,743,341
AID01116,Slow Lane,66.81666666666666,614,234
AID01117,Fast Lane,58.80833333333333,788,332
AID01117,Middle Lane 1,48.78333333333333,532,141
AID01117,Middle Lane 2,60.80833333333333,1610,519
AID01117,Slow Lane,50.125,363,106
AID01118,Fast Lane,65.93333333333334,733,237
AID01118,Middle Lane,59.15833333333333,1634,557
AID01118,Slow Lane,47.675,478,139
AID01120,Fast Lane,54.766666666666666,1194,411
AID01120,Middle Lane,51.95,1279,401
AID01120,Slow Lane,45.083333333333336,936,185
AID01121,Fast Lane,67.55,1287,484
AID01121,Slow Lane,61.375,798,287
AID01122,Fast Lane,60.38333333333333,1358,518
AID01122,Slow Lane,61.1,718,256
AID01123,Fast Lane,48.31666666666667,2583,729
AID01123,Slow Lane,56.50833333333333,1986,453
AID01124,Fast Lane,78.06666666666666,1547,699
AID01124,Slow Lane,48.65,994,384
AID01125,Fast Lane,81.09166666666667,1318,562
AID01125,Slow Lane,77.3,986,354
AID01126,Fast Lane,83.725,862,550
AID01126,Slow Lane,78.25833333333334,897,526
AID01127,Fast Lane,86.325,1281,568
AID01127,Slow Lane,82.60833333333333,1556,541
AID01128,Fast Lane,69.80833333333334,965,466
AID01128,Slow Lane,77.275,1310,512
AID01129,Fast Lane,60.75833333333333,884,396
AID01129,Slow Lane,73.30833333333334,1433,538
AID01130,Fast Lane,78.49166666666666,583,280
AID01130,Middle Lane 1,80.40833333333333,564,203
AID01130,Middle Lane 2,78.19166666666666,767,309
AID01130,Slow Lane,78.475,345,115
AID01131,Fast Lane,69.70833333333333,475,234
AID01131,Slow Lane,83.525,687,302
AID01132,Fast Lane,84.95833333333333,499,235
AID01132,Middle Lane,78.06666666666666,857,353
AID01132,Slow Lane,77.575,220,54
AID01133,Fast Lane,70.08333333333333,508,240
AID01133,Slow Lane,65.84166666666667,674,264
AID01134,Fast Lane,76.98333333333333,515,276
AID01134,Slow Lane,80.33333333333333,537,238
AID01135,Fast Lane,79.63333333333334,526,222
AID01135,Slow Lane,88.31666666666666,598,296
AID01136,Fast Lane,82.75833333333334,848,383
AID01136,Slow Lane,81.86666666666666,405,199
AID01201,Fast Lane,66.91666666666667,885,235
AID01201,Slow Lane,52.825,1542,422
AID01202,Fast Lane,60.85,732,245
AID01202,Slow Lane,56.458333333333336,522,162
AID01203,Fast Lane,69.70833333333333,522,229
AID01203,Slow Lane,66.06666666666666,480,182
AID01204,Fast Lane,39.25,1052,165
AID01204,Middle Lane,42.49166666666667,1305,217
AID01204,Slow Lane,45.96666666666667,519,86
AID01206,Fast Lane,54.8,1147,357
AID01206,Slow Lane,50.416666666666664,884,292
AID01207,Fast Lane,58.625,630,247
AID01207,Middle Lane 1,54.03333333333333,671,195
AID01207,Middle Lane 2,67.95,841,317
AID01207,Slow Lane,52.7,219,52
AID01208,Fast Lane,65.225,623,261
AID01208,Slow Lane,62.4,855,348
AID01209,Fast Lane,74.74166666666666,588,246
AID01209,Middle Lane,71.91666666666667,641,276
AID01209,Slow Lane,58.78333333333333,582,157
AID01210,Fast Lane,64.0,673,259
AID01210,Middle Lane,62.708333333333336,792,286
AID01210,Slow Lane,65.15833333333333,301,103
AID01211,Fast Lane,70.525,759,281
AID01211,Middle Lane,71.04166666666667,679,244
AID01211,Slow Lane,64.98333333333333,347,97
AID01212,Fast Lane,81.50833333333334,751,191
AID01212,Middle Lane,79.50833333333334,708,241
AID01212,Slow Lane,70.80833333333334,263,92
AID01213,Fast Lane,55.71666666666667,678,277
AID01213,Middle Lane 1,57.96666666666667,1288,458
AID01213,Middle Lane 2,60.44166666666667,1306,547
AID01213,Slow Lane,58.233333333333334,916,242
AID01214,Fast Lane,52.025,796,224
AID01214,Middle Lane,40.19166666666667,1588,466
AID01214,Slow Lane,48.8,970,298
