detectorID,laneType,speed,totalOccupancy,totalVolume
AID01101,Fast Lane,70.83333333333333,37,17
AID01101,Middle Lane,65.9,189,70
AID01101,Slow Lane,67.3,63,14
AID01102,Fast Lane,71.01666666666667,18,10
AID01102,Middle Lane,69.21666666666667,191,67
AID01102,Slow Lane,69.725,83,25
AID01103,Fast Lane,52.3,69,29
AID01103,Middle Lane,57.175,293,103
AID01103,Slow Lane,48.175,171,23
AID01104,Fast Lane,51.733333333333334,77,32
AID01104,Slow Lane,56.541666666666664,229,71
AID01105,Fast Lane,52.7,90,36
AID01105,Slow Lane,55.43333333333333,169,66
AID01106,Fast Lane,52.791666666666664,248,80
AID01106,Slow Lane,50.5,275,69
AID01107,Fast Lane,59.35,251,88
AID01107,Slow Lane,55.21666666666667,230,53
AID01108,Fast Lane,67.53333333333333,274,97
AID01108,Slow Lane,70.20833333333333,39,15
AID01109,Fast Lane,69.56666666666666,271,91
AID01109,Middle Lane,64.79166666666667,147,39
AID01109,Slow Lane,66.35,122,27
AID01110,Fast Lane,67.66666666666667,258,88
AID01110,Middle Lane,66.23333333333333,246,96
AID01110,Slow Lane,64.39166666666667,279,96
AID01111,Fast Lane,67.775,561,205
AID01111,Middle Lane 1,58.90833333333333,476,188
AID01111,Middle Lane 2,63.30833333333333,388,133
AID01111,Slow Lane,58.96666666666667,625,220
AID01112,Fast Lane,60.24166666666667,505,172
AID01112,Middle Lane 1,56.791666666666664,409,133
AID01112,Middle Lane 2,61.00833333333333,523,169
AID01112,Slow Lane,47.31666666666667,1137,290
AID01113,Fast Lane,70.44166666666666,206,82
AID01113,Middle Lane,66.7,421,146
AID01113,Slow Lane,66.81666666666666,206,44
AID01114,Fast Lane,69.3,245,94
AID01114,Middle Lane,65.1,362,118
AID01114,Slow Lane,65.525,202,39
AID01115,Fast Lane,68.53333333333333,239,101
AID01115,Middle Lane,63.65833333333333,255,98
AID01115,Slow Lane,61.93333333333333,297,93
AID01116,Fast Lane,63.11666666666667,205,88
AID01116,Slow Lane,63.333333333333336,228,88
AID01117,Fast Lane,55.15,205,92
AID01117,Middle Lane 1,49.375,155,40
AID01117,Middle Lane 2,59.666666666666664,614,209
AID01117,Slow Lane,49.9,95,35
AID01118,Fast Lane,57.74166666666667,168,57
AID01118,Middle Lane,60.916666666666664,644,236
AID01118,Slow Lane,49.46666666666667,135,44
AID01120,Fast Lane,56.425,297,107
AID01120,Middle Lane,54.00833333333333,527,172
AID01120,Slow Lane,49.358333333333334,280,66
AID01121,Fast Lane,64.76666666666667,342,139
AID01121,Slow Lane,58.96666666666667,388,134
AID01122,Fast Lane,58.4,369,162
AID01122,Slow Lane,56.675,333,126
AID01123,Fast Lane,56.25833333333333,1269,119
AID01123,Slow Lane,46.641666666666666,2110,293
AID01124,Fast Lane,78.225,290,129
AID01124,Slow Lane,58.458333333333336,456,197
AID01125,Fast Lane,87.66666666666667,313,147
AID01125,Slow Lane,79.90833333333333,454,176
AID01126,Fast Lane,83.71666666666667,269,156
AID01126,Slow Lane,81.44166666666666,488,253
AID01127,Fast Lane,86.61666666666666,301,135
AID01127,Slow Lane,83.66666666666667,657,248
AID01128,Fast Lane,79.15,219,107
AID01128,Slow Lane,73.81666666666666,490,203
AID01129,Fast Lane,73.41666666666667,214,111
AID01129,Slow Lane,76.05,551,209
AID01130,Fast Lane,81.5,137,63
AID01130,Middle Lane 1,81.28333333333333,204,70
AID01130,Middle Lane 2,79.05833333333334,329,128
AID01130,Slow Lane,80.26666666666667,121,37
AID01131,Fast Lane,79.30833333333334,83,38
AID01131,Slow Lane,84.28333333333333,321,147
AID01132,Fast Lane,83.48333333333333,82,40
AID01132,Middle Lane,81.93333333333334,381,162
AID01132,Slow Lane,79.08333333333333,90,21
AID01133,Fast Lane,81.625,99,49
AID01133,Slow Lane,74.75,322,129
AID01134,Fast Lane,81.44166666666666,127,78
AID01134,Slow Lane,85.81666666666666,281,114
AID01135,Fast Lane,83.28333333333333,265,112
AID01135,Slow Lane,88.55,157,89
AID01136,Fast Lane,83.85,301,130
AID01136,Slow Lane,82.575,203,86
AID01201,Fast Lane,62.791666666666664,359,60
AID01201,Slow Lane,65.24166666666666,308,83
AID01202,Fast Lane,56.56666666666667,328,103
AID01202,Slow Lane,53.15833333333333,192,59
AID01203,Fast Lane,61.15,213,93
AID01203,Slow Lane,60.608333333333334,198,79
AID01204,Fast Lane,44.44166666666667,413,77
AID01204,Middle Lane,46.825,428,89
AID01204,Slow Lane,48.46666666666667,284,43
AID01206,Fast Lane,53.325,470,170
AID01206,Slow Lane,51.291666666666664,325,113
AID01207,Fast Lane,54.05833333333333,177,74
AID01207,Middle Lane 1,51.35,217,67
AID01207,Middle Lane 2,58.358333333333334,323,119
AID01207,Slow Lane,50.1,132,26
AID01208,Fast Lane,59.35,184,75
AID01208,Slow Lane,60.608333333333334,347,132
AID01209,Fast Lane,71.125,145,64
AID01209,Middle Lane,71.2,230,101
AID01209,Slow Lane,65.78333333333333,218,66
AID01210,Fast Lane,66.775,183,76
AID01210,Middle Lane,65.075,334,121
AID01210,Slow Lane,66.01666666666667,152,44
AID01211,Fast Lane,71.425,209,81
AID01211,Middle Lane,70.09166666666667,291,104
AID01211,Slow Lane,67.525,131,33
AID01212,Fast Lane,77.73333333333333,295,71
AID01212,Middle Lane,77.50833333333334,318,102
AID01212,Slow Lane,69.70833333333333,71,30
AID01213,Fast Lane,67.20833333333333,160,61
AID01213,Middle Lane 1,58.40833333333333,559,184
AID01213,Middle Lane 2,58.675,674,246
AID01213,Slow Lane,62.083333333333336,336,93
AID01214,Fast Lane,51.075,277,58
AID01214,Middle Lane,51.825,418,134
AID01214,Slow Lane,50.55833333333333,351,96
AID01215,Fast Lane,71.425,218,92
AID01215,Slow Lane,71.16666666666667,295,117
AID01216,Fast Lane,67.65,87,35
AID01216,Slow Lane,64.64166666666667,347,111
AID01217,Fast Lane,70.24166666666666,209,77
AID01217,Middle Lane 1,68.71666666666667,69,24
AID01217,Middle Lane 2,67.925,304,97
AID01217,Slow Lane,70.20833333333333,17,5
AID01218,Fast Lane,54.40833333333333,260,108
AID01218,Middle Lane 2,57.708333333333336,221,85
AID01219,Fast Lane,57.075,163,71
AID01219,Slow Lane,58.975,311,108
AID01220,Fast Lane,55.99166666666667,119,54
AID01220,Slow Lane,60.775,322,118
AID01221,Fast Lane,52.575,153,41
AID01221,Middle Lane,54.541666666666664,442,102
AID01221,Slow Lane,49.40833333333333,394,90
AID01222,Fast Lane,71.59166666666667,50,26
AID01222,Middle Lane,71.70833333333333,250,97
AID01222,Slow Lane,69.83333333333333,202,62
AID01223,Fast Lane,69.54166666666667,32,15
AID01223,Middle Lane,66.38333333333334,266,92
AID01223,Slow Lane,69.5,56,13
AID02104,Fast Lane,71.21666666666667,12,6
AID02104,Slow Lane,71.78333333333333,63,25
AID02105,Fast Lane,70.1,16,8
AID02105,Slow Lane,69.24166666666666,64,24
AID02106,Fast Lane,70.41666666666667,14,4
AID02106,Middle Lane,71.14166666666667,60,27
AID02106,Slow Lane,80.08333333333333,320,166
AID02107,Fast Lane,72.15,15,9
AID02107,Middle Lane,80.16666666666667,267,120
AID02107,Slow Lane,79.125,212,94
AID02108,Fast Lane,83.90833333333333,40,25
AID02108,Middle Lane,88.93333333333334,318,151
AID02108,Slow Lane,82.95,428,178
AID02109,Fast Lane,82.90833333333333,22,10
AID02109,Middle Lane,91.68333333333334,314,155
AID02109,Slow Lane,85.08333333333333,342,172
AID02110,Fast Lane,81.93333333333334,15,8
AID02110,Middle Lane,93.06666666666666,310,151
AID02110,Slow Lane,86.80833333333334,383,182
AID02111,Fast Lane,81.71666666666667,21,10
AID02111,Middle Lane,88.675,274,135
AID02111,Slow Lane,84.63333333333334,476,200
AID02112,Fast Lane,83.125,25,17
AID02112,Slow Lane,87.55,266,103
AID02113,Fast Lane,81.38333333333334,44,26
AID02113,Slow Lane,83.56666666666666,218,102
AID02114,Fast Lane,81.63333333333334,55,30
AID02114,Slow Lane,78.94166666666666,208,90
AID02115,Fast Lane,79.225,32,17
AID02115,Slow Lane,74.85833333333333,274,109
AID02116,Fast Lane,69.93333333333334,27,14
AID02116,Middle Lane,69.5,81,28
AID02117,Fast Lane,70.81666666666666,21,11
AID02117,Slow Lane,75.16666666666667,138,61
AID02118,Fast Lane,70.35,55,25
AID02118,Middle Lane 1,69.63333333333334,21,8
AID02118,Middle Lane 2,69.86666666666666,90,34
AID02118,Middle Lane 3,69.55833333333334,192,66
AID02118,Slow Lane,69.70833333333333,14,4
AID02119,Fast Lane,84.1,60,31
AID02119,Slow Lane,81.1,161,68
AID02120,Fast Lane,82.875,43,23
AID02120,Middle Lane 1,86.4,218,85
AID02120,Middle Lane 2,87.89166666666667,175,80
AID02120,Slow Lane,81.025,112,32
AID02121,Fast Lane,82.73333333333333,61,25
AID02121,Middle Lane,84.63333333333334,181,90
AID02121,Slow Lane,78.75,179,82
AID02122,Fast Lane,83.90833333333333,63,27
AID02122,Middle Lane,88.36666666666666,190,85
AID02122,Slow Lane,86.19166666666666,181,80
AID02123,Fast Lane,82.93333333333334,50,26
AID02123,Middle Lane,85.71666666666667,153,80
AID02123,Slow Lane,86.54166666666667,238,119
AID02124,Fast Lane,79.5,57,29
AID02124,Slow Lane,75.25,134,63
AID02125,Fast Lane,77.525,85,41
AID02125,Slow Lane,75.66666666666667,152,56
AID02126,Fast Lane,82.34166666666667,128,67
AID02126,Slow Lane,76.83333333333333,259,107
AID02127,Fast Lane,89.76666666666667,159,70
AID02127,Slow Lane,87.125,145,60
AID02201,Fast Lane,70.15,29,15
AID02201,Slow Lane,70.45833333333333,160,64
AID02202,Fast Lane,71.25,26,12
AID02202,Slow Lane,71.75833333333334,83,31
