detectorID,laneType,speed,totalOccupancy,totalVolume
AID01101,Fast Lane,69.49166666666666,290,106
AID01101,Middle Lane,65.44166666666666,460,175
AID01101,Slow Lane,59.733333333333334,313,78
AID01102,Fast Lane,73.29166666666667,217,93
AID01102,Middle Lane,71.03333333333333,583,217
AID01102,Slow Lane,67.275,284,96
AID01103,Fast Lane,64.79166666666667,344,127
AID01103,Middle Lane,66.925,858,289
AID01103,Slow Lane,51.9,254,35
AID01104,Fast Lane,57.78333333333333,309,112
AID01104,Slow Lane,62.18333333333333,670,207
AID01105,Fast Lane,69.15,374,139
AID01105,Slow Lane,68.64166666666667,551,194
AID01106,Fast Lane,54.125,476,241
AID01106,Slow Lane,50.31666666666667,243,87
AID01107,Fast Lane,58.675,463,210
AID01107,Slow Lane,54.4,225,84
AID01108,Fast Lane,70.05833333333334,525,214
AID01108,Slow Lane,69.66666666666667,179,108
AID01109,Fast Lane,65.30833333333334,639,231
AID01109,Middle Lane,64.05,248,89
AID01109,Slow Lane,54.666666666666664,788,244
AID01110,Fast Lane,59.483333333333334,689,211
AID01110,Middle Lane,57.06666666666667,1005,347
AID01110,Slow Lane,64.16666666666667,287,111
AID01111,Fast Lane,67.30833333333334,867,299
AID01111,Middle Lane 1,60.0,526,206
AID01111,Middle Lane 2,66.76666666666667,353,127
AID01111,Slow Lane,61.875,470,254
AID01112,Fast Lane,63.625,567,180
AID01112,Middle Lane 1,57.11666666666667,526,151
AID01112,Middle Lane 2,61.96666666666667,768,252
AID01112,Slow Lane,46.06666666666667,1042,312
AID01113,Fast Lane,73.05,381,143
AID01113,Middle Lane,71.1,548,187
AID01113,Slow Lane,68.88333333333334,243,51
AID01114,Fast Lane,67.40833333333333,369,136
AID01114,Middle Lane,63.15,554,191
AID01114,Slow Lane,63.233333333333334,376,119
AID01115,Fast Lane,65.66666666666667,431,165
AID01115,Middle Lane,64.98333333333333,348,109
AID01115,Slow Lane,57.891666666666666,396,156
AID01116,Fast Lane,63.24166666666667,389,155
AID01116,Slow Lane,58.483333333333334,378,114
AID01117,Fast Lane,66.45833333333333,280,149
AID01117,Middle Lane 1,53.391666666666666,169,84
AID01117,Middle Lane 2,64.51666666666667,463,213
AID01117,Slow Lane,50.125,110,46
AID01118,Fast Lane,61.56666666666667,209,111
AID01118,Middle Lane,62.291666666666664,554,251
AID01118,Slow Lane,50.36666666666667,119,52
AID01120,Fast Lane,60.19166666666667,260,136
AID01120,Middle Lane,58.18333333333333,481,167
AID01120,Slow Lane,54.13333333333333,413,140
AID01121,Fast Lane,66.09166666666667,342,168
AID01121,Slow Lane,58.725,292,103
AID01122,Fast Lane,63.55833333333333,434,178
AID01122,Slow Lane,58.46666666666667,296,94
AID01123,Fast Lane,53.11666666666667,1085,314
AID01123,Slow Lane,47.71666666666667,817,216
AID01124,Fast Lane,76.09166666666667,585,235
AID01124,Slow Lane,59.375,436,184
AID01125,Fast Lane,80.73333333333333,493,208
AID01125,Slow Lane,76.275,462,162
AID01126,Fast Lane,80.75,422,199
AID01126,Slow Lane,73.05833333333334,800,304
AID01127,Fast Lane,81.55,430,187
AID01127,Slow Lane,74.98333333333333,856,318
AID01128,Fast Lane,83.18333333333334,358,162
AID01128,Slow Lane,76.3,778,290
AID01129,Fast Lane,47.766666666666666,10121,123
AID01129,Slow Lane,76.025,793,301
AID01130,Fast Lane,82.01666666666667,168,101
AID01130,Middle Lane 1,79.59166666666667,142,52
AID01130,Middle Lane 2,76.6,387,165
AID01130,Slow Lane,78.825,270,103
AID01131,Fast Lane,84.675,169,90
AID01131,Slow Lane,79.675,399,176
AID01132,Fast Lane,84.0,189,90
AID01132,Middle Lane,79.36666666666666,501,188
AID01132,Slow Lane,77.475,144,43
AID01133,Fast Lane,86.00833333333334,190,95
AID01133,Slow Lane,78.51666666666667,423,160
AID01134,Fast Lane,83.39495798319328,202,114
AID01134,Slow Lane,79.4201680672269,332,148
AID01135,Fast Lane,79.73333333333333,327,133
AID01135,Slow Lane,85.875,215,128
AID01136,Fast Lane,82.01666666666667,490,216
AID01136,Slow Lane,79.86666666666666,291,124
AID01201,Fast Lane,66.3,576,250
AID01201,Slow Lane,53.86666666666667,921,365
AID01202,Fast Lane,57.75,580,216
AID01202,Slow Lane,53.125,358,109
AID01203,Fast Lane,66.83333333333333,315,201
AID01203,Slow Lane,60.391666666666666,337,156
AID01204,Fast Lane,43.208333333333336,694,213
AID01204,Middle Lane,44.641666666666666,883,217
AID01204,Slow Lane,46.825,479,102
AID01206,Fast Lane,59.09166666666667,539,316
AID01206,Slow Lane,56.0,487,232
AID01207,Fast Lane,63.81666666666667,333,166
AID01207,Middle Lane 1,54.71666666666667,369,128
AID01207,Middle Lane 2,68.25833333333334,565,293
AID01207,Slow Lane,50.375,256,61
AID01208,Fast Lane,62.025,354,164
AID01208,Slow Lane,62.275,812,294
AID01209,Fast Lane,72.91666666666667,405,152
