detectorID,laneType,speed
AID01101,Fast Lane,68.88888888888889
AID01101,Middle Lane,60.62013888888889
AID01101,Slow Lane,54.65555555555556
AID01102,Fast Lane,74.82916666666667
AID01102,Middle Lane,67.73298611111112
AID01102,Slow Lane,66.05
AID01103,Fast Lane,61.696875
AID01103,Middle Lane,60.26076388888889
AID01103,Slow Lane,49.393055555555556
AID01104,Fast Lane,61.890277777777776
AID01104,Slow Lane,61.09930555555555
AID01105,Fast Lane,65.26354166666667
AID01105,Slow Lane,63.84513888888889
AID01106,Fast Lane,50.65694444444444
AID01106,Slow Lane,47.50729166666667
AID01107,Fast Lane,59.604166666666664
AID01107,Slow Lane,53.08958333333333
AID01108,Fast Lane,54.2139631816603
AID01108,Slow Lane,53.656477943730465
AID01109,Fast Lane,47.9355581127733
AID01109,Middle Lane,48.65324127349444
AID01109,Slow Lane,45.072113540467974
AID01110,Fast Lane,41.98645833333333
AID01110,Middle Lane,44.80694444444445
AID01110,Slow Lane,45.124652777777776
AID01111,Fast Lane,56.691319444444446
AID01111,Middle Lane 1,41.699305555555554
AID01111,Middle Lane 2,53.35520833333333
AID01111,Slow Lane,38.31041666666667
AID01112,Fast Lane,54.08888888888889
AID01112,Middle Lane 1,36.50347222222222
AID01112,Middle Lane 2,54.20729166666667
AID01112,Slow Lane,33.71423611111111
AID01113,Fast Lane,71.27256944444444
AID01113,Middle Lane,64.92743055555556
AID01113,Slow Lane,61.12361111111111
AID01114,Fast Lane,63.87951388888889
AID01114,Middle Lane,58.09930555555555
AID01114,Slow Lane,54.62222222222222
AID01115,Fast Lane,60.03993055555556
AID01115,Middle Lane,55.96284722222222
AID01115,Slow Lane,49.61909722222222
AID01116,Fast Lane,59.70868055555555
AID01116,Slow Lane,56.52430555555556
AID01117,Fast Lane,53.47465277777778
AID01117,Middle Lane 1,42.35347222222222
AID01117,Middle Lane 2,49.185763888888886
AID01117,Slow Lane,44.34027777777778
AID01118,Fast Lane,47.109375
AID01118,Middle Lane,41.953472222222224
AID01118,Slow Lane,40.390625
AID01120,Fast Lane,55.04131944444445
AID01120,Middle Lane,51.63263888888889
AID01120,Slow Lane,38.51145833333333
AID01121,Fast Lane,58.61631944444444
AID01121,Slow Lane,56.05451388888889
AID01122,Fast Lane,55.62083333333333
AID01122,Slow Lane,54.54340277777778
AID01123,Fast Lane,42.196527777777774
AID01123,Slow Lane,38.045138888888886
AID01124,Fast Lane,68.71576524741081
AID01124,Slow Lane,55.604909858074414
AID01125,Fast Lane,73.81476323119777
AID01125,Slow Lane,62.80257660167131
AID01126,Fast Lane,73.22951388888889
AID01126,Slow Lane,68.56875
AID01127,Fast Lane,73.83055555555555
AID01127,Slow Lane,69.54444444444445
AID01128,Fast Lane,75.76701388888888
AID01128,Slow Lane,71.20833333333333
AID01129,Fast Lane,72.353125
AID01129,Slow Lane,68.9263888888889
AID01130,Fast Lane,80.16805555555555
AID01130,Middle Lane 1,77.91909722222222
AID01130,Middle Lane 2,74.88263888888889
AID01130,Slow Lane,74.65
AID01131,Fast Lane,83.1295138888889
AID01131,Slow Lane,79.31666666666666
AID01132,Fast Lane,84.45729166666666
AID01132,Middle Lane,76.67326388888888
AID01132,Slow Lane,73.60625
AID01133,Fast Lane,83.61354166666666
AID01133,Slow Lane,73.84652777777778
AID01134,Fast Lane,80.17878260869566
AID01134,Slow Lane,78.09008695652174
AID01135,Fast Lane,78.60798611111112
AID01135,Slow Lane,86.46145833333334
AID01136,Fast Lane,76.81423611111111
AID01136,Slow Lane,75.40902777777778
AID01201,Fast Lane,61.06041666666667
AID01201,Slow Lane,50.39618055555555
AID01202,Fast Lane,59.06912122264675
AID01202,Slow Lane,54.07294199374783
AID01203,Fast Lane,64.40694444444445
AID01203,Slow Lane,61.98229166666667
AID01204,Fast Lane,32.06840277777778
AID01204,Middle Lane,34.285069444444446
AID01204,Slow Lane,36.763888888888886
AID01206,Fast Lane,47.96111111111111
AID01206,Slow Lane,47.270833333333336
AID01207,Fast Lane,60.714930555555554
AID01207,Middle Lane 1,49.102777777777774
AID01207,Middle Lane 2,58.977777777777774
AID01207,Slow Lane,45.875347222222224
AID01208,Fast Lane,60.905902777777776
AID01208,Slow Lane,56.69548611111111
AID01209,Fast Lane,69.44479166666666
AID01209,Middle Lane,65.25034722222222
AID01209,Slow Lane,50.19340277777778
AID01210,Fast Lane,59.56527777777778
AID01210,Middle Lane,59.50763888888889
AID01210,Slow Lane,57.01875
AID01211,Fast Lane,60.408680555555556
AID01211,Middle Lane,59.15972222222222
AID01211,Slow Lane,54.48576388888889
AID01212,Fast Lane,68.42743055555556
AID01212,Middle Lane,62.03055555555556
AID01212,Slow Lane,68.16180555555556
AID01213,Fast Lane,34.685069444444444
AID01213,Middle Lane 1,27.94826388888889
AID01213,Middle Lane 2,30.236458333333335
AID01213,Slow Lane,29.063541666666666
AID01214,Fast Lane,45.71666666666667
AID01214,Middle Lane,35.0625
AID01214,Slow Lane,36.00590277777778
AID01215,Fast Lane,67.36631944444444
AID01215,Slow Lane,60.61875
AID01216,Fast Lane,69.12361111111112
AID01216,Slow Lane,66.203125
AID01217,Fast Lane,66.46458333333334
AID01217,Middle Lane 1,67.3375
AID01217,Middle Lane 2,65.8236111111111
AID01217,Slow Lane,74.490625
AID01218,Fast Lane,59.79131944444445
AID01218,Middle Lane 2,57.709375
AID01219,Fast Lane,66.24965277777778
AID01219,Slow Lane,61.263888888888886
AID01220,Fast Lane,67.25659722222223
AID01220,Slow Lane,66.59131944444445
AID01221,Fast Lane,51.647222222222226
AID01221,Middle Lane,47.56041666666667
AID01221,Slow Lane,42.647222222222226
AID01222,Fast Lane,70.24166666666666
AID01222,Middle Lane,65.73298611111112
AID01222,Slow Lane,56.359027777777776
AID01223,Fast Lane,70.50069444444445
AID01223,Middle Lane,66.03993055555556
AID01223,Slow Lane,61.97986111111111
AID02104,Fast Lane,78.25381944444445
AID02104,Slow Lane,73.67430555555555
AID02105,Fast Lane,72.66006944444445
AID02105,Slow Lane,67.00972222222222
AID02106,Fast Lane,75.75138888888888
AID02106,Middle Lane,70.61423611111111
AID02106,Slow Lane,70.66284722222223
AID02107,Fast Lane,81.38958333333333
AID02107,Middle Lane,77.89618055555556
AID02107,Slow Lane,79.765625
AID02108,Fast Lane,86.36597222222223
AID02108,Middle Lane,78.3704861111111
AID02108,Slow Lane,71.52881944444445
AID02109,Fast Lane,88.73541666666667
AID02109,Middle Lane,82.66527777777777
AID02109,Slow Lane,73.92604166666666
AID02110,Fast Lane,86.94895833333334
AID02110,Middle Lane,80.3704861111111
AID02110,Slow Lane,71.99270833333334
AID02111,Fast Lane,85.503125
AID02111,Middle Lane,73.70833333333333
AID02111,Slow Lane,64.946875
AID02112,Fast Lane,87.96527777777777
AID02112,Slow Lane,81.09201388888889
AID02113,Fast Lane,83.70694444444445
AID02113,Slow Lane,76.10694444444445
AID02114,Fast Lane,77.50503647099687
AID02114,Slow Lane,72.83084404307051
AID02115,Fast Lane,73.24513888888889
AID02115,Slow Lane,63.02326388888889
