detectorID,laneType,speed
AID01101,Fast Lane,68.11879124696075
AID01101,Middle Lane,60.35706842653699
AID01101,Slow Lane,53.57276832233414
AID01102,Fast Lane,74.209375
AID01102,Middle Lane,67.40416666666667
AID01102,Slow Lane,66.30555555555556
AID01103,Fast Lane,59.5
AID01103,Middle Lane,58.895833333333336
AID01103,Slow Lane,49.2875
AID01104,Fast Lane,60.95970823202501
AID01104,Slow Lane,60.01632511288642
AID01105,Fast Lane,68.66701388888889
AID01105,Slow Lane,66.20138888888889
AID01106,Fast Lane,49.91180555555555
AID01106,Slow Lane,47.11076388888889
AID01107,Fast Lane,59.91770833333333
AID01107,Slow Lane,53.08576388888889
AID01108,Fast Lane,56.51823549843696
AID01108,Slow Lane,56.42341090656478
AID01109,Fast Lane,50.11076388888889
AID01109,Middle Lane,50.52361111111111
AID01109,Slow Lane,45.83159722222222
AID01110,Fast Lane,46.08298611111111
AID01110,Middle Lane,44.98020833333333
AID01110,Slow Lane,45.41041666666667
AID01111,Fast Lane,56.59652777777778
AID01111,Middle Lane 1,41.368402777777774
AID01111,Middle Lane 2,52.45798611111111
AID01111,Slow Lane,37.02916666666667
AID01112,Fast Lane,54.11215277777778
AID01112,Middle Lane 1,37.54201388888889
AID01112,Middle Lane 2,54.30798611111111
AID01112,Slow Lane,33.63298611111111
AID01113,Fast Lane,72.16284722222223
AID01113,Middle Lane,65.340625
AID01113,Slow Lane,62.871875
AID01114,Fast Lane,66.33576388888889
AID01114,Middle Lane,60.185069444444444
AID01114,Slow Lane,56.615625
AID01115,Fast Lane,60.475347222222226
AID01115,Middle Lane,56.89340277777778
AID01115,Slow Lane,49.180902777777774
AID01116,Fast Lane,57.313064628214036
AID01116,Slow Lane,55.29152189020153
AID01117,Fast Lane,48.812847222222224
AID01117,Middle Lane 1,39.7125
AID01117,Middle Lane 2,45.435069444444444
AID01117,Slow Lane,41.770833333333336
AID01118,Fast Lane,43.99340659340659
AID01118,Middle Lane,40.37054945054945
AID01118,Slow Lane,40.20879120879121
AID01120,Fast Lane,55.92604166666667
AID01120,Middle Lane,52.88125
AID01120,Slow Lane,39.32881944444444
AID01121,Fast Lane,59.798611111111114
AID01121,Slow Lane,57.37291666666667
