detectorID,laneType,speed
AID01101,Fast Lane,69.36840277777777
AID01101,Middle Lane,59.83125
AID01101,Slow Lane,54.94861111111111
AID01102,Fast Lane,74.70114942528735
AID01102,Middle Lane,67.57507183908046
AID01102,Slow Lane,66.38649425287356
AID01103,Fast Lane,62.049766718507
AID01103,Middle Lane,61.690124416796266
AID01103,Slow Lane,50.71461897356143
AID01104,Fast Lane,62.07680722891566
AID01104,Slow Lane,61.88290662650602
AID01105,Fast Lane,66.12904636920385
AID01105,Slow Lane,64.15398075240594
AID01106,Fast Lane,50.41124780316345
AID01106,Slow Lane,47.59015817223199
AID01107,Fast Lane,59.96944444444444
AID01107,Slow Lane,53.41076388888889
AID01108,Fast Lane,58.29236111111111
AID01108,Slow Lane,57.22986111111111
AID01109,Fast Lane,50.31180555555556
AID01109,Middle Lane,50.769444444444446
AID01109,Slow Lane,45.82673611111111
AID01110,Fast Lane,46.18441851712458
AID01110,Middle Lane,46.991719984945426
AID01110,Slow Lane,46.99585999247272
AID01111,Fast Lane,59.61522375575073
AID01111,Middle Lane 1,45.46884148891677
AID01111,Middle Lane 2,55.55876202425763
AID01111,Slow Lane,40.256796319531574
AID01112,Fast Lane,56.05993000874891
AID01112,Middle Lane 1,44.12817147856518
AID01112,Middle Lane 2,55.972003499562554
AID01112,Slow Lane,37.6010498687664
AID01113,Fast Lane,72.17083333333333
AID01113,Middle Lane,65.92743055555556
AID01113,Slow Lane,61.88923611111111
AID01114,Fast Lane,67.64037236648701
AID01114,Middle Lane,61.71239588437041
AID01114,Slow Lane,58.2141107300343
AID01115,Fast Lane,65.09930555555556
AID01115,Middle Lane,60.299305555555556
AID01115,Slow Lane,52.42881944444444
AID01116,Fast Lane,65.61099091302466
AID01116,Slow Lane,63.5772392903505
AID01117,Fast Lane,56.91770833333333
AID01117,Middle Lane 1,44.391666666666666
AID01117,Middle Lane 2,52.60069444444444
AID01117,Slow Lane,44.859027777777776
AID01118,Fast Lane,48.38923611111111
AID01118,Middle Lane,42.65277777777778
AID01118,Slow Lane,40.83541666666667
AID01120,Fast Lane,58.1375
AID01120,Middle Lane,53.90833333333333
AID01120,Slow Lane,39.20729166666667
AID01121,Fast Lane,60.953472222222224
AID01121,Slow Lane,58.8125
AID01122,Fast Lane,57.92673611111111
AID01122,Slow Lane,57.25208333333333
AID01123,Fast Lane,46.67239212400503
AID01123,Slow Lane,40.49224968579807
AID01124,Fast Lane,71.97534722222223
AID01124,Slow Lane,50.923611111111114
AID01125,Fast Lane,81.32355516637477
AID01125,Slow Lane,75.64185639229422
AID01126,Fast Lane,77.64732453092425
AID01126,Slow Lane,71.54725503822098
AID01127,Fast Lane,78.33876357560568
AID01127,Slow Lane,73.53842940685045
AID01128,Fast Lane,78.20694444444445
AID01128,Slow Lane,73.84236111111112
AID01129,Fast Lane,74.15401953418483
AID01129,Slow Lane,69.18219383921863
AID01130,Fast Lane,80.21631944444445
AID01130,Middle Lane 1,77.96180555555556
AID01130,Middle Lane 2,74.61284722222223
AID01130,Slow Lane,75.19618055555556
AID01131,Fast Lane,83.14895833333334
AID01131,Slow Lane,79.15798611111111
AID01132,Fast Lane,84.64840989399293
AID01132,Middle Lane,76.87208480565371
AID01132,Slow Lane,73.69293286219082
AID01133,Fast Lane,83.603125
AID01133,Slow Lane,73.72395833333333
AID01134,Fast Lane,80.32569444444445
AID01134,Slow Lane,77.84201388888889
AID01135,Fast Lane,78.44270833333333
AID01135,Slow Lane,86.38541666666667
AID01136,Fast Lane,75.53055555555555
AID01136,Slow Lane,73.60381944444444
AID01201,Fast Lane,61.79072790294627
AID01201,Slow Lane,52.86135181975737
AID01202,Fast Lane,59.468804159445405
AID01202,Slow Lane,54.20147313691508
AID01203,Fast Lane,64.56875
AID01203,Slow Lane,61.689236111111114
AID01204,Fast Lane,36.536991670749636
AID01204,Middle Lane,39.015678588926995
AID01204,Slow Lane,40.14257716805488
AID01206,Fast Lane,48.990625
AID01206,Slow Lane,47.67118055555556
AID01207,Fast Lane,61.15661566156616
AID01207,Middle Lane 1,49.63501350135014
AID01207,Middle Lane 2,60.08280828082808
AID01207,Slow Lane,47.396489648964895
