detectorID,laneType,speed
AID01101,Fast Lane,64.06979166666666
AID01101,Middle Lane,59.75416666666667
AID01101,Slow Lane,58.342013888888886
AID01102,Fast Lane,61.959375
AID01102,Middle Lane,56.95381944444444
AID01102,Slow Lane,49.936458333333334
AID01103,Fast Lane,57.84444444444444
AID01103,Middle Lane,58.24305555555556
AID01103,Slow Lane,50.634027777777774
AID01104,Fast Lane,57.5125
AID01104,Slow Lane,59.73368055555556
AID01105,Fast Lane,59.97465277777778
AID01105,Slow Lane,59.40347222222222
AID01106,Fast Lane,46.805902777777774
AID01106,Slow Lane,48.42743055555555
AID01107,Fast Lane,53.15486111111111
AID01107,Slow Lane,51.559375
AID01108,Fast Lane,58.02048611111111
AID01108,Slow Lane,66.65833333333333
AID01109,Fast Lane,60.38472222222222
AID01109,Middle Lane,58.19340277777778
AID01109,Slow Lane,52.919444444444444
AID01110,Fast Lane,52.24583333333333
AID01110,Middle Lane,47.80659722222222
AID01110,Slow Lane,57.56944444444444
AID01111,Fast Lane,57.40347222222222
AID01111,Middle Lane 1,48.61701388888889
AID01111,Middle Lane 2,56.31875
AID01111,Slow Lane,45.63611111111111
AID01112,Fast Lane,52.76909722222222
AID01112,Middle Lane 1,42.437847222222224
AID01112,Middle Lane 2,53.67916666666667
AID01112,Slow Lane,41.827083333333334
AID01113,Fast Lane,69.42256944444445
AID01113,Middle Lane,63.31701388888889
AID01113,Slow Lane,64.29513888888889
AID01114,Fast Lane,64.57673611111112
AID01114,Middle Lane,57.110416666666666
AID01114,Slow Lane,60.173611111111114
AID01115,Fast Lane,61.540625
AID01115,Middle Lane,53.40486111111111
AID01115,Slow Lane,54.850347222222226
AID01116,Fast Lane,59.115972222222226
AID01116,Slow Lane,61.39791666666667
AID01117,Fast Lane,58.772222222222226
AID01117,Middle Lane 1,48.09027777777778
AID01117,Middle Lane 2,55.683680555555554
AID01117,Slow Lane,49.157291666666666
AID01118,Fast Lane,59.458333333333336
AID01118,Middle Lane,52.16041666666667
AID01118,Slow Lane,46.36215277777778
AID01120,Fast Lane,57.344097222222224
AID01120,Middle Lane,54.15138888888889
AID01120,Slow Lane,47.192708333333336
AID01121,Fast Lane,59.31597222222222
AID01121,Slow Lane,56.04548611111111
AID01122,Fast Lane,62.60208333333333
AID01122,Slow Lane,58.68263888888889
AID01123,Fast Lane,44.22361111111111
AID01123,Slow Lane,40.37222222222222
AID01124,Fast Lane,64.71909722222222
AID01124,Slow Lane,47.7
AID01125,Fast Lane,78.32847222222222
AID01125,Slow Lane,71.25243055555555
AID01126,Fast Lane,77.60208333333334
AID01126,Slow Lane,71.85868055555555
AID01127,Fast Lane,78.39722222222223
AID01127,Slow Lane,73.43784722222222
AID01128,Fast Lane,74.39756944444444
AID01128,Slow Lane,66.80104166666666
AID01129,Fast Lane,66.9
AID01129,Slow Lane,71.06388888888888
