detectorID,laneType,speed,totalOccupancy,totalVolume
AID01101,Fast Lane,71.96153846153847,1,21
AID01101,Middle Lane,70.8076923076923,59,53
AID01101,Slow Lane,58.84615384615385,33,29
AID01102,Fast Lane,82.0,1,14
AID01102,Middle Lane,72.80952380952381,13,44
AID01102,Slow Lane,67.47619047619048,19,30
AID01103,Fast Lane,61.193548387096776,12,34
AID01103,Middle Lane,74.16129032258064,36,69
AID01103,Slow Lane,49.12903225806452,81,39
AID01104,Fast Lane,68.57142857142857,12,26
AID01104,Slow Lane,71.9047619047619,17,41
AID01105,Fast Lane,72.66666666666667,5,29
AID01105,Slow Lane,78.0,14,46
AID01106,Fast Lane,56.758620689655174,99,197
AID01106,Slow Lane,52.827586206896555,138,158
AID01107,Fast Lane,66.15315315315316,119,258
AID01107,Slow Lane,59.72072072072072,189,147
AID01108,Fast Lane,76.54545454545455,32,65
AID01108,Slow Lane,74.72727272727273,4,14
AID01109,Fast Lane,72.19047619047619,35,66
AID01109,Middle Lane,61.23809523809524,15,28
AID01109,Slow Lane,56.333333333333336,26,31
AID01110,Fast Lane,70.0,25,67
AID01110,Middle Lane,69.0,25,59
AID01110,Slow Lane,64.19047619047619,42,41
AID01111,Fast Lane,73.57142857142857,79,142
AID01111,Middle Lane 1,63.285714285714285,59,95
AID01111,Middle Lane 2,64.80952380952381,34,42
AID01111,Slow Lane,58.80952380952381,85,82
AID01112,Fast Lane,68.0952380952381,72,107
AID01112,Middle Lane 1,55.38095238095238,42,73
AID01112,Middle Lane 2,69.52380952380952,71,100
AID01112,Slow Lane,54.42857142857143,82,106
AID01113,Fast Lane,64.0952380952381,22,50
AID01113,Middle Lane,72.19047619047619,72,76
AID01113,Slow Lane,65.19047619047619,11,13
AID01114,Fast Lane,77.52380952380952,24,62
AID01114,Middle Lane,68.76190476190476,56,95
AID01114,Slow Lane,62.0,18,33
AID01115,Fast Lane,66.22727272727273,85,99
AID01115,Middle Lane,61.86363636363637,52,70
AID01115,Slow Lane,55.68181818181818,46,53
AID01116,Fast Lane,73.71428571428571,43,81
AID01116,Slow Lane,68.66666666666667,31,51
AID01117,Fast Lane,64.48333333333333,234,398
AID01117,Middle Lane 1,51.30833333333333,59,129
AID01117,Middle Lane 2,68.96666666666667,472,638
AID01117,Slow Lane,51.81666666666667,56,103
AID01118,Fast Lane,69.66666666666667,38,78
AID01118,Middle Lane,61.42857142857143,88,142
AID01118,Slow Lane,47.38095238095238,25,27
AID01119,Fast Lane,55.142857142857146,13,24
AID01119,Middle Lane,50.142857142857146,128,130
AID01119,Slow Lane,49.19047619047619,97,73
AID01120,Fast Lane,62.61904761904762,75,101
AID01120,Middle Lane,61.142857142857146,51,75
AID01120,Slow Lane,45.904761904761905,59,39
AID01121,Fast Lane,72.36,149,250
AID01121,Slow Lane,66.98,91,134
AID01122,Fast Lane,76.38095238095238,90,138
AID01122,Slow Lane,66.95238095238095,31,45
AID01123,Fast Lane,49.42857142857143,94,163
AID01123,Slow Lane,44.19047619047619,74,91
AID01124,Fast Lane,89.66666666666667,166,141
AID01124,Slow Lane,70.9047619047619,90,96
AID01125,Fast Lane,79.66666666666667,70,142
AID01125,Slow Lane,79.66666666666667,55,75
AID01126,Fast Lane,91.33333333333333,67,139
AID01126,Slow Lane,86.9047619047619,47,108
AID01127,Fast Lane,94.14285714285714,133,154
AID01127,Slow Lane,86.0,95,123
AID01128,Fast Lane,92.27927927927928,210,569
AID01128,Slow Lane,89.71171171171171,302,599
AID01129,Fast Lane,76.9047619047619,117,124
AID01129,Slow Lane,72.14285714285714,103,128
AID01131,Fast Lane,88.97435897435898,63,124
AID01131,Slow Lane,91.64102564102564,77,132
AID01132,Fast Lane,95.66666666666667,37,69
AID01132,Middle Lane,88.19047619047619,60,84
AID01132,Slow Lane,79.9047619047619,8,16
AID01133,Fast Lane,93.61538461538461,38,90
AID01133,Slow Lane,79.53846153846153,61,93
AID01134,Fast Lane,77.675,195,406
AID01134,Slow Lane,78.63333333333334,245,334
AID01135,Fast Lane,85.70833333333333,38,71
AID01135,Slow Lane,96.70833333333333,54,90
AID01136,Fast Lane,84.54545454545455,90,107
AID01136,Slow Lane,83.04545454545455,43,60
AID01201,Fast Lane,63.608695652173914,44,73
AID01201,Slow Lane,49.69565217391305,185,137
AID01202,Fast Lane,61.42857142857143,40,63
AID01202,Slow Lane,52.857142857142854,16,17
AID01203,Fast Lane,70.04761904761905,21,46
AID01203,Slow Lane,63.714285714285715,31,52
AID01204,Fast Lane,42.853932584269664,164,183
AID01204,Middle Lane,45.41573033707865,156,193
AID01204,Slow Lane,45.60674157303371,126,101
AID01205,Fast Lane,46.86363636363637,60,68
AID01205,Middle Lane,46.31818181818182,62,59
AID01205,Slow Lane,46.68181818181818,26,19
AID01206,Fast Lane,52.22641509433962,175,229
AID01206,Slow Lane,49.24528301886792,139,177
AID01207,Fast Lane,60.19047619047619,33,48
AID01207,Middle Lane 1,52.714285714285715,21,30
AID01207,Middle Lane 2,63.57142857142857,45,81
AID01207,Slow Lane,50.666666666666664,0,2
AID01208,Fast Lane,72.0,34,56
AID01208,Slow Lane,61.142857142857146,44,74
AID01209,Fast Lane,74.16666666666667,45,123
AID01209,Middle Lane,71.29166666666667,48,136
AID01209,Slow Lane,57.25,70,84
AID01210,Fast Lane,65.33333333333333,47,59
AID01210,Middle Lane,63.57142857142857,51,67
AID01210,Slow Lane,59.857142857142854,22,29
AID01211,Fast Lane,70.38095238095238,35,61
AID01211,Middle Lane,69.76190476190476,32,53
AID01211,Slow Lane,62.666666666666664,24,34
AID01212,Fast Lane,77.1875,87,76
AID01212,Middle Lane,73.14583333333333,88,113
AID01212,Slow Lane,74.5625,41,74
AID01213,Fast Lane,63.407407407407405,69,103
AID01213,Middle Lane 1,60.51851851851852,65,114
AID01213,Middle Lane 2,63.074074074074076,67,139
AID01213,Slow Lane,61.22222222222222,33,59
AID01214,Fast Lane,54.38095238095238,39,64
AID01214,Middle Lane,51.857142857142854,109,94
AID01214,Slow Lane,46.61904761904762,80,74
AID01215,Fast Lane,82.28571428571429,50,106
AID01215,Slow Lane,74.71428571428571,72,139
AID01216,Fast Lane,78.95238095238095,24,43
AID01216,Slow Lane,85.0952380952381,38,65
AID01217,Fast Lane,74.23333333333333,98,239
AID01217,Middle Lane 1,76.80833333333334,166,117
AID01217,Middle Lane 2,76.25833333333334,224,322
AID01217,Slow Lane,79.50833333333334,21,84
AID01218,Fast Lane,58.57142857142857,48,63
AID01218,Middle Lane 2,54.523809523809526,28,27
AID01219,Fast Lane,78.625,14,57
AID01219,Slow Lane,79.20833333333333,37,63
AID01220,Fast Lane,74.04761904761905,14,47
AID01220,Slow Lane,80.76190476190476,12,55
AID01221,Fast Lane,72.28571428571429,15,37
AID01221,Middle Lane,53.857142857142854,83,51
AID01221,Slow Lane,49.76190476190476,121,64
AID01222,Fast Lane,76.23809523809524,4,19
AID01222,Middle Lane,71.9047619047619,28,58
AID01222,Slow Lane,51.857142857142854,72,42
AID01223,Fast Lane,79.04761904761905,4,16
AID01223,Middle Lane,74.76190476190476,5,30
AID01223,Slow Lane,64.38095238095238,17,10
AID02104,Fast Lane,84.0,0,12
AID02104,Slow Lane,76.19047619047619,11,23
