detectorID,laneType,speed,totalOccupancy,totalVolume
AID01101,Fast Lane,77.025,132,212
AID01101,Middle Lane,63.833333333333336,381,311
AID01101,Slow Lane,56.75833333333333,126,110
AID01102,Fast Lane,74.08333333333333,130,210
AID01102,Middle Lane,67.725,271,293
AID01102,Slow Lane,67.475,114,158
AID01103,Fast Lane,77.525,249,364
AID01103,Middle Lane,69.75,331,399
AID01103,Slow Lane,57.825,145,118
AID01104,Fast Lane,71.225,296,337
AID01104,Slow Lane,68.33333333333333,222,228
AID01105,Fast Lane,77.90833333333333,231,354
AID01105,Slow Lane,76.56666666666666,198,296
AID01106,Fast Lane,51.05833333333333,499,461
AID01106,Slow Lane,46.575,341,170
AID01107,Fast Lane,66.05833333333334,404,445
AID01107,Slow Lane,51.833333333333336,379,147
AID01108,Fast Lane,82.16666666666667,306,430
AID01108,Slow Lane,76.16666666666667,90,129
AID01109,Fast Lane,71.825,455,514
AID01109,Middle Lane,65.09166666666667,119,161
AID01109,Slow Lane,57.78333333333333,335,364
AID01110,Fast Lane,65.50833333333334,349,414
AID01110,Middle Lane,62.90833333333333,502,567
AID01110,Slow Lane,60.69166666666667,476,359
AID01111,Fast Lane,73.3,392,557
AID01111,Middle Lane 1,68.88333333333334,273,280
AID01111,Middle Lane 2,67.96666666666667,262,204
AID01111,Slow Lane,63.86666666666667,213,311
AID01112,Fast Lane,66.225,335,372
AID01112,Middle Lane 1,60.05833333333333,179,210
AID01112,Middle Lane 2,68.34166666666667,304,379
AID01112,Slow Lane,55.44166666666667,336,389
AID01113,Fast Lane,74.31666666666666,103,240
AID01113,Middle Lane,69.46666666666667,151,265
AID01113,Slow Lane,68.58333333333333,26,66
AID01114,Fast Lane,73.56666666666666,103,223
AID01114,Middle Lane,67.89166666666667,203,318
AID01114,Slow Lane,64.25,75,126
AID01115,Fast Lane,66.63333333333334,129,244
AID01115,Middle Lane,63.325,140,170
AID01115,Slow Lane,57.44166666666667,143,167
AID01116,Fast Lane,69.03333333333333,125,252
AID01116,Slow Lane,63.49166666666667,115,179
AID01117,Fast Lane,79.76666666666667,139,263
AID01117,Middle Lane 1,57.05833333333333,87,145
AID01117,Middle Lane 2,67.58333333333333,363,401
AID01117,Slow Lane,52.40833333333333,49,69
AID01118,Fast Lane,71.74166666666666,105,218
AID01118,Middle Lane,66.33333333333333,424,444
AID01118,Slow Lane,52.858333333333334,95,107
AID01119,Fast Lane,52.88333333333333,85,97
AID01119,Middle Lane,54.63333333333333,549,484
AID01119,Slow Lane,49.391666666666666,383,208
AID01120,Fast Lane,72.33333333333333,134,254
AID01120,Middle Lane,67.71666666666667,202,253
AID01120,Slow Lane,53.733333333333334,236,169
AID01121,Fast Lane,72.30833333333334,177,312
AID01121,Slow Lane,64.63333333333334,166,209
AID01122,Fast Lane,74.4,171,319
AID01122,Slow Lane,65.18333333333334,118,139
AID01123,Fast Lane,57.75833333333333,510,674
AID01123,Slow Lane,49.99166666666667,440,372
AID01124,Fast Lane,86.40833333333333,252,539
AID01124,Slow Lane,74.39166666666667,374,413
AID01125,Fast Lane,80.85,234,451
AID01125,Slow Lane,78.2,262,318
AID01126,Fast Lane,89.45,222,456
AID01126,Slow Lane,80.75,362,510
AID01127,Fast Lane,89.69166666666666,292,476
AID01127,Slow Lane,81.24166666666666,493,523
AID01128,Fast Lane,93.65833333333333,169,406
AID01128,Slow Lane,86.79166666666667,386,496
AID01129,Fast Lane,77.85833333333333,183,340
AID01129,Slow Lane,73.56666666666666,420,525
AID01131,Fast Lane,95.83333333333333,104,256
AID01131,Slow Lane,87.40833333333333,238,358
AID01132,Fast Lane,93.49166666666666,121,266
AID01132,Middle Lane,86.63333333333334,278,365
AID01132,Slow Lane,79.65,48,104
AID01133,Fast Lane,97.025,108,282
AID01133,Slow Lane,87.05,217,323
AID01134,Fast Lane,87.41666666666667,133,298
AID01134,Slow Lane,82.20833333333333,180,288
AID01135,Fast Lane,90.51666666666667,162,258
AID01135,Slow Lane,96.59166666666667,124,308
AID01136,Fast Lane,81.90833333333333,232,423
AID01136,Slow Lane,79.43333333333334,249,273
AID01201,Fast Lane,65.05833333333334,244,487
AID01201,Slow Lane,51.55,780,685
AID01202,Fast Lane,58.11666666666667,274,442
AID01202,Slow Lane,54.30833333333333,158,197
AID01203,Fast Lane,65.10833333333333,256,367
AID01203,Slow Lane,64.25833333333334,213,304
AID01204,Fast Lane,39.7,405,384
AID01204,Middle Lane,43.275,311,327
AID01204,Slow Lane,43.233333333333334,176,191
AID01205,Fast Lane,47.125,388,419
AID01205,Middle Lane,48.49166666666667,338,322
AID01205,Slow Lane,48.53333333333333,147,119
AID01206,Fast Lane,59.84166666666667,508,627
AID01206,Slow Lane,57.31666666666667,398,427
AID01207,Fast Lane,71.53333333333333,226,381
AID01207,Middle Lane 1,55.81666666666667,125,211
AID01207,Middle Lane 2,66.73333333333333,280,420
AID01207,Slow Lane,48.375,109,104
AID01208,Fast Lane,67.06666666666666,264,392
AID01208,Slow Lane,60.35,287,388
AID01209,Fast Lane,73.61666666666666,198,360
AID01209,Middle Lane,70.71666666666667,248,386
AID01209,Slow Lane,56.31666666666667,191,252
AID01210,Fast Lane,66.375,185,328
AID01210,Middle Lane,65.1,254,390
AID01210,Slow Lane,63.65,106,158
AID01211,Fast Lane,72.85,195,359
AID01211,Middle Lane,68.425,273,358
AID01211,Slow Lane,62.858333333333334,114,167
AID01212,Fast Lane,80.58333333333333,111,167
AID01212,Middle Lane,66.95833333333333,262,281
AID01212,Slow Lane,78.95,125,160
AID01213,Fast Lane,61.925,318,446
AID01213,Middle Lane 1,58.6,336,378
AID01213,Middle Lane 2,64.83333333333333,308,443
AID01213,Slow Lane,62.30833333333333,175,210
AID01214,Fast Lane,51.291666666666664,288,311
AID01214,Middle Lane,46.99166666666667,628,438
AID01214,Slow Lane,46.666666666666664,678,391
AID01215,Fast Lane,76.41666666666667,291,445
AID01215,Slow Lane,69.14166666666667,460,564
AID01216,Fast Lane,82.00833333333334,134,248
AID01216,Slow Lane,80.40833333333333,289,337
AID01217,Fast Lane,77.16666666666667,124,257
AID01217,Middle Lane 1,80.40833333333333,196,180
AID01217,Middle Lane 2,80.53333333333333,254,311
AID01217,Slow Lane,90.14166666666667,82,163
AID01218,Fast Lane,68.34166666666667,193,293
AID01218,Middle Lane 2,62.333333333333336,375,299
AID01219,Fast Lane,76.26363636363637,114,249
AID01219,Slow Lane,67.83636363636364,251,303
AID01220,Fast Lane,79.50833333333334,92,234
AID01220,Slow Lane,76.875,223,337
AID01221,Fast Lane,53.608333333333334,218,266
AID01221,Middle Lane,48.266666666666666,653,334
AID01221,Slow Lane,46.141666666666666,593,310
AID01222,Fast Lane,70.15833333333333,91,171
AID01222,Middle Lane,63.19166666666667,284,348
AID01222,Slow Lane,51.416666666666664,494,265
AID01223,Fast Lane,73.38333333333334,54,140
AID01223,Middle Lane,70.125,165,234
AID01223,Slow Lane,61.766666666666666,146,89
AID02104,Fast Lane,85.1,29,99
AID02104,Slow Lane,77.85833333333333,63,103
AID02105,Fast Lane,74.83333333333333,20,77
AID02105,Slow Lane,69.4,62,97
AID02106,Fast Lane,78.59166666666667,5,71
AID02106,Middle Lane,76.15,58,102
AID02106,Slow Lane,81.43333333333334,596,922
AID02107,Fast Lane,93.325,97,277
AID02107,Middle Lane,88.45833333333333,309,516
AID02107,Slow Lane,89.63333333333334,245,399
AID02108,Fast Lane,101.50833333333334,148,356
AID02108,Middle Lane,92.25833333333334,414,681
AID02108,Slow Lane,84.30833333333334,286,471
AID02109,Fast Lane,104.96666666666667,106,317
AID02109,Middle Lane,96.99166666666666,363,660
AID02109,Slow Lane,92.475,299,553
AID02110,Fast Lane,104.125,100,301
AID02110,Middle Lane,100.375,360,599
AID02110,Slow Lane,97.38333333333334,369,638
AID02111,Fast Lane,102.875,94,304
AID02111,Middle Lane,92.1,281,468
AID02111,Slow Lane,86.025,450,781
AID02112,Fast Lane,99.43333333333334,92,261
AID02112,Slow Lane,88.01666666666667,200,358
AID02113,Fast Lane,99.85,112,300
AID02113,Slow Lane,88.34166666666667,257,420
AID02114,Fast Lane,90.09166666666667,106,282
AID02114,Slow Lane,85.55,215,384
AID02115,Fast Lane,86.30833333333334,94,220
AID02115,Slow Lane,78.95833333333333,362,475
AID02116,Fast Lane,80.85833333333333,72,203
AID02116,Middle Lane,74.76666666666667,116,183
AID02117,Fast Lane,94.5,123,314
AID02117,Slow Lane,84.89166666666667,175,238
AID02118,Fast Lane,77.05833333333334,220,399
AID02118,Middle Lane 1,68.475,12,19
AID02118,Middle Lane 2,69.075,90,111
AID02118,Middle Lane 3,71.76666666666667,217,264
AID02118,Slow Lane,69.325,40,29
AID02119,Fast Lane,88.68333333333334,140,312
AID02119,Slow Lane,78.84166666666667,242,288
AID02120,Fast Lane,101.41666666666667,79,232
AID02120,Middle Lane 1,87.34166666666667,189,293
AID02120,Middle Lane 2,94.48333333333333,234,364
AID02120,Slow Lane,82.825,70,123
AID02121,Fast Lane,88.05833333333334,63,234
AID02121,Middle Lane,81.73333333333333,257,403
AID02121,Slow Lane,80.60833333333333,199,233
AID02122,Fast Lane,95.15,76,258
AID02122,Middle Lane,86.13333333333334,225,352
AID02122,Slow Lane,81.64166666666667,199,243
AID02123,Fast Lane,109.45833333333333,84,305
AID02123,Middle Lane,94.675,234,342
AID02123,Slow Lane,94.41666666666667,321,448
AID02124,Fast Lane,88.46666666666667,174,388
AID02124,Slow Lane,78.85833333333333,306,331
AID02125,Fast Lane,86.48333333333333,252,433
AID02125,Slow Lane,78.33333333333333,304,287
AID02126,Fast Lane,95.36666666666666,314,626
AID02126,Slow Lane,82.84166666666667,531,586
AID02127,Fast Lane,89.08333333333333,229,538
AID02127,Slow Lane,82.5,279,318
AID02201,Fast Lane,82.53333333333333,120,258
AID02201,Slow Lane,75.20833333333333,301,371
AID02202,Fast Lane,88.09166666666667,67,187
AID02202,Slow Lane,81.05,185,229
AID02203,Fast Lane,74.58333333333333,61,165
AID02203,Slow Lane,69.5,146,172
AID02204,Fast Lane,83.41666666666667,103,254
AID02204,Slow Lane,72.425,255,349
AID02205,Fast Lane,98.80833333333334,76,227
AID02205,Slow Lane,88.89166666666667,249,381
AID02206,Fast Lane,101.90833333333333,68,218
AID02206,Slow Lane,91.71666666666667,236,407
AID02207,Fast Lane,83.87368421052632,49,133
AID02207,Middle Lane,75.6842105263158,200,286
AID02207,Slow Lane,71.47368421052632,154,177
AID02208,Fast Lane,101.275,98,265
AID02208,Middle Lane,89.60833333333333,419,581
AID02208,Slow Lane,81.075,268,300
AID02209,Fast Lane,107.15833333333333,81,256
AID02209,Middle Lane,94.95,342,541
AID02209,Slow Lane,83.54166666666667,260,342
AID02210,Fast Lane,98.025,84,233
AID02210,Middle Lane,87.25,374,568
AID02210,Slow Lane,81.11666666666666,293,374
AID02211,Fast Lane,98.1,78,217
AID02211,Middle Lane,82.925,361,519
AID02211,Slow Lane,75.975,282,433
AID02212,Fast Lane,87.84166666666667,76,181
AID02212,Middle Lane,80.8,367,559
AID02212,Slow Lane,70.925,167,203
AID02213,Fast Lane,80.71666666666667,52,136
AID02213,Middle Lane,78.0,209,312
AID02213,Slow Lane,75.29166666666667,367,432
AID02214,Fast Lane,91.25833333333334,72,175
AID02214,Middle Lane 1,84.74166666666666,365,563
AID02214,Middle Lane 2,83.83333333333333,174,257
AID02214,Slow Lane,78.25833333333334,71,162
AID02215,Fast Lane,85.65833333333333,132,243
AID02215,Slow Lane,82.35833333333333,154,214
AID03101,Fast Lane,74.34166666666667,27,98
AID03101,Middle Lane,75.325,70,148
AID03101,Slow Lane,72.9,27,132
AID03102,Fast Lane,56.108333333333334,98,146
AID03102,Slow Lane,49.375,263,161
AID03103,Fast Lane,91.89166666666667,38,162
AID03103,Slow Lane,81.65833333333333,386,587
AID03104,Fast Lane,51.93333333333333,245,156
AID03106,Fast Lane,121.73333333333333,28,116
AID03106,Middle Lane,115.05833333333334,102,364
AID03106,Slow Lane,100.675,153,219
AID03107,Fast Lane,108.875,34,170
AID03107,Middle Lane,97.89166666666667,214,541
AID03107,Slow Lane,84.16666666666667,112,175
AID03108,Fast Lane,116.225,64,246
AID03108,Middle Lane,105.54166666666667,278,670
AID03108,Slow Lane,93.03333333333333,309,458
AID03109,Fast Lane,109.63333333333334,61,237
AID03109,Middle Lane,97.66666666666667,326,709
AID03109,Slow Lane,85.325,320,434
AID03111,Fast Lane,118.73333333333333,20,138
AID03111,Middle Lane,111.025,218,576
AID03111,Slow Lane,100.39166666666667,334,587
AID03112,Fast Lane,115.01666666666667,9,93
AID03112,Middle Lane,108.80833333333334,146,404
AID03112,Slow Lane,96.69166666666666,423,782
AID03113,Fast Lane,76.625,8,66
AID03113,Middle Lane,99.56666666666666,120,327
AID03113,Slow Lane,75.24166666666666,148,167
AID03114,Fast Lane,110.675,2,50
AID03114,Middle Lane,115.2,108,323
AID03114,Slow Lane,96.00833333333334,126,162
AID03115,Fast Lane,88.4,9,48
AID03115,Middle Lane,92.3,87,190
AID03115,Slow Lane,82.18333333333334,81,81
AID03116,Fast Lane,87.80833333333334,6,53
AID03116,Middle Lane,90.15833333333333,79,178
AID03116,Slow Lane,81.2,93,75
AID03117,Fast Lane,99.625,10,32
AID03117,Middle Lane,90.60833333333333,128,245
AID03117,Slow Lane,76.40833333333333,179,139
AID03118,Fast Lane,102.575,2,34
AID03118,Middle Lane,97.95833333333333,114,233
AID03118,Slow Lane,82.3,172,162
AID03119,Fast Lane,104.15833333333333,2,28
AID03119,Middle Lane,110.86666666666666,90,231
AID03119,Slow Lane,94.4,146,169
AID03120,Fast Lane,102.05833333333334,5,36
AID03120,Middle Lane,94.10833333333333,97,210
AID03120,Slow Lane,81.86666666666666,167,176
AID03121,Fast Lane,102.4,6,36
AID03121,Middle Lane,95.79166666666667,107,182
AID03121,Slow Lane,84.33333333333333,164,124
AID03122,Fast Lane,109.30833333333334,4,50
AID03122,Middle Lane,106.34166666666667,106,156
AID03122,Slow Lane,95.79166666666667,169,145
AID03123,Fast Lane,108.45833333333333,4,58
AID03123,Middle Lane,103.425,97,132
AID03123,Slow Lane,99.48333333333333,174,169
AID03124,Fast Lane,108.91666666666667,12,76
AID03124,Slow Lane,99.95,58,87
AID03125,Fast Lane,109.63333333333334,7,73
AID03125,Slow Lane,101.84166666666667,53,89
AID03201,Fast Lane,87.69166666666666,34,97
AID03201,Middle Lane,82.54166666666667,162,268
AID03201,Slow Lane,80.25833333333334,352,283
AID03202,Fast Lane,106.60833333333333,80,267
AID03202,Middle Lane 1,86.275,335,399
AID03202,Middle Lane 2,96.73333333333333,310,628
AID03202,Slow Lane,91.725,287,463
AID03203,Fast Lane,107.41666666666667,63,253
AID03203,Middle Lane,94.65,279,573
AID03203,Slow Lane,79.13333333333334,288,271
AID03204,Fast Lane,114.20833333333333,69,267
AID03204,Middle Lane,100.70833333333333,286,564
AID03204,Slow Lane,84.09166666666667,293,299
AID03205,Fast Lane,121.04166666666667,167,471
AID03205,Middle Lane,106.75833333333334,386,746
AID03205,Slow Lane,97.61666666666666,498,645
AID03206,Fast Lane,120.95,159,468
AID03206,Middle Lane,109.10833333333333,355,730
AID03206,Slow Lane,96.30833333333334,421,577
AID03207,Fast Lane,115.25833333333334,152,389
AID03207,Middle Lane,101.34166666666667,366,687
AID03207,Slow Lane,87.8,488,606
AID03208,Fast Lane,114.06666666666666,127,361
AID03208,Middle Lane,104.38333333333334,316,650
AID03208,Slow Lane,92.49166666666666,494,774
AID03209,Fast Lane,101.2,114,291
AID03209,Middle Lane,92.69166666666666,265,450
AID03209,Slow Lane,86.925,778,1090
AID03210,Fast Lane,93.60833333333333,113,275
AID03210,Middle Lane,84.81666666666666,260,456
AID03210,Slow Lane,81.41666666666667,128,120
AID03211,Fast Lane,81.98333333333333,234,478
AID03211,Middle Lane 1,76.425,215,176
AID03211,Middle Lane 2,80.2,202,301
AID03211,Slow Lane,74.325,71,99
AID04101,Fast Lane,51.28333333333333,16,23
AID04101,Middle Lane,51.416666666666664,28,29
AID04101,Slow Lane,61.34166666666667,131,217
AID04102,Fast Lane,85.475,38,97
AID04102,Slow Lane,86.16666666666667,82,150
AID04103,Fast Lane,81.24166666666666,21,86
AID04103,Slow Lane,77.43333333333334,103,179
AID04104,Fast Lane,87.5,11,53
AID04104,Middle Lane 1,78.525,145,275
AID04104,Middle Lane 2,87.9,112,234
AID04104,Slow Lane,72.16666666666667,221,323
AID04105,Fast Lane,78.9,117,218
AID04105,Middle Lane,77.41666666666667,442,612
AID04105,Slow Lane,74.84166666666667,198,352
AID04106,Fast Lane,88.38333333333334,49,155
AID04106,Middle Lane,83.29166666666667,360,511
AID04106,Slow Lane,78.9,218,386
AID04107,Fast Lane,85.11666666666666,44,142
AID04107,Middle Lane,83.9,331,535
AID04107,Slow Lane,88.28333333333333,257,446
AID04108,Fast Lane,85.78333333333333,299,453
AID04108,Slow Lane,90.10833333333333,197,304
AID04109,Fast Lane,74.96666666666667,350,500
AID04109,Slow Lane,79.73333333333333,150,290
AID04110,Fast Lane,75.175,3,57
AID04110,Middle Lane 1,76.04166666666667,401,457
AID04110,Middle Lane 2,73.475,64,105
AID04110,Middle Lane 3,73.24166666666666,30,44
AID04110,Slow Lane,73.69166666666666,84,169
AID04111,Fast Lane,68.35,361,430
AID04111,Slow Lane,66.76666666666667,389,438
AID04112,Fast Lane,79.18333333333334,51,183
AID04112,Middle Lane,75.51666666666667,255,422
AID04112,Slow Lane,73.75833333333334,253,333
AID04113,Fast Lane,94.23333333333333,60,178
AID04113,Middle Lane,87.425,294,402
AID04113,Slow Lane,79.66666666666667,227,354
AID04114,Fast Lane,89.95833333333333,51,165
AID04114,Middle Lane,84.53333333333333,266,379
AID04114,Slow Lane,84.98333333333333,300,447
AID04115,Fast Lane,75.85833333333333,68,167
AID04115,Slow Lane,66.10833333333333,337,400
AID04116,Fast Lane,76.225,78,208
AID04116,Slow Lane,69.58333333333333,269,338
AID04117,Fast Lane,65.875,158,283
AID04117,Slow Lane,54.825,433,429
AID04118,Fast Lane,84.49166666666666,95,231
AID04118,Slow Lane,76.78333333333333,406,502
AID04119,Fast Lane,81.20833333333333,35,101
AID04119,Slow Lane,78.31666666666666,109,167
AID04120,Fast Lane,76.90833333333333,87,154
AID04120,Slow Lane,72.15833333333333,100,166
AID04121,Fast Lane,87.775,28,123
AID04121,Slow Lane,75.61666666666666,29,64
AID04122,Fast Lane,82.93333333333334,41,130
AID04122,Middle Lane,73.45833333333333,31,60
AID04122,Slow Lane,67.86666666666666,217,265
AID04201,Fast Lane,52.575,31,32
AID04201,Slow Lane,47.38333333333333,77,22
AID04202,Fast Lane,66.375,167,197
AID04202,Slow Lane,67.74166666666666,21,40
AID04203,Fast Lane,85.29166666666667,86,259
AID04203,Middle Lane,75.24166666666666,344,421
