detectorID,laneType,speed,totalOccupancy,totalVolume,Latitude,Longitude
AID01101,Fast Lane,66.85,1262,546,22.248091,114.152525
AID01101,Middle Lane,57.1,1932,626,22.248091,114.152525
AID01101,Slow Lane,45.61666666666667,1679,267,22.248091,114.152525
AID01102,Fast Lane,74.66666666666667,933,420,22.24712681,114.1577149
AID01102,Middle Lane,66.175,1689,639,22.24712681,114.1577149
AID01102,Slow Lane,65.91666666666667,965,371,22.24712681,114.1577149
AID01103,Fast Lane,68.43333333333334,1975,702,22.24863539,114.1621481
AID01103,Middle Lane,59.141666666666666,3507,889,22.24863539,114.1621481
AID01103,Slow Lane,49.141666666666666,1989,218,22.24863539,114.1621481
AID01104,Fast Lane,67.86666666666666,1803,631,22.24837379,114.1658151
AID01104,Slow Lane,60.225,2251,588,22.24837379,114.1658151
AID01105,Fast Lane,72.63333333333334,1704,616,22.2496834,114.1686381
AID01105,Slow Lane,67.43333333333334,2212,710,22.2496834,114.1686381
AID01106,Fast Lane,50.425,2446,928,22.25044211,114.1718782
AID01106,Slow Lane,45.50833333333333,1634,397,22.25044211,114.1718782
AID01107,Fast Lane,56.49166666666667,2254,916,22.24999065,114.1762923
AID01107,Slow Lane,48.075,1699,384,22.24999065,114.1762923
AID01108,Fast Lane,62.575,1614,781,22.27186288,114.1801247
AID01108,Slow Lane,63.05,1089,495,22.27186288,114.1801247
AID01109,Fast Lane,26.175,7304,552,22.27659491,114.1810758
AID01109,Middle Lane,36.6,2837,463,22.27659491,114.1810758
AID01109,Slow Lane,39.75,4961,1203,22.27659491,114.1810758
AID01110,Fast Lane,18.866666666666667,9829,949,22.279356,114.181217
AID01110,Middle Lane,36.266666666666666,5692,1195,22.279356,114.181217
AID01110,Slow Lane,38.23333333333333,4716,1060,22.279356,114.181217
AID01111,Fast Lane,55.46666666666667,3961,1428,22.30412026,114.1809989
AID01111,Middle Lane 1,48.391666666666666,2978,787,22.30412026,114.1809989
AID01111,Middle Lane 2,54.725,2133,589,22.30412026,114.1809989
AID01111,Slow Lane,41.25,3887,905,22.30412026,114.1809989
AID01112,Fast Lane,53.98333333333333,3999,1165,22.30492398,114.1813386
AID01112,Middle Lane 1,47.025,2712,595,22.30492398,114.1813386
AID01112,Middle Lane 2,54.59166666666667,2986,877,22.30492398,114.1813386
AID01112,Slow Lane,35.425,6479,1065,22.30492398,114.1813386
AID01113,Fast Lane,72.05833333333334,1838,708,22.31029,114.17816
AID01113,Middle Lane,65.69166666666666,2152,751,22.31029,114.17816
AID01113,Slow Lane,60.825,1266,330,22.31029,114.17816
AID01114,Fast Lane,64.925,1784,683,22.31330444,114.1769423
AID01114,Middle Lane,57.5,2128,808,22.31330444,114.1769423
AID01114,Slow Lane,51.86666666666667,1776,481,22.31330444,114.1769423
AID01115,Fast Lane,64.125,1839,768,22.31850605,114.1789805
AID01115,Middle Lane,59.40833333333333,930,328,22.31850605,114.1789805
AID01115,Slow Lane,48.35,2191,691,22.31850605,114.1789805
AID01116,Fast Lane,66.7,1641,676,22.32074565,114.1786797
AID01116,Slow Lane,62.875,882,312,22.32074565,114.1786797
AID01117,Fast Lane,52.49166666666667,3503,723,22.32435789,114.1783109
AID01117,Middle Lane 1,31.70833333333333,3703,408,22.32435789,114.1783109
AID01117,Middle Lane 2,42.075,5055,867,22.32435789,114.1783109
AID01117,Slow Lane,38.54166666666666,1253,175,22.32435789,114.1783109
AID01118,Fast Lane,30.48333333333333,6390,520,22.32843068,114.178476
AID01118,Middle Lane,23.58333333333333,8062,746,22.32843068,114.178476
AID01118,Slow Lane,27.391666666666666,4340,386,22.32843068,114.178476
AID01120,Fast Lane,57.98333333333333,1694,849,22.33496881,114.1788837
AID01120,Middle Lane,50.05833333333333,2563,768,22.33496881,114.1788837
AID01120,Slow Lane,21.5,6525,448,22.33496881,114.1788837
AID01121,Fast Lane,62.725,1502,780,22.33848171,114.1791459
AID01121,Slow Lane,59.53333333333333,923,343,22.33848171,114.1791459
AID01122,Fast Lane,65.01666666666667,1617,837,22.34191,114.17893
AID01122,Slow Lane,59.06666666666667,957,290,22.34191,114.17893
AID01123,Fast Lane,43.84166666666667,4781,1329,22.34521846,114.1813302
AID01123,Slow Lane,39.225,3937,873,22.34521846,114.1813302
AID01124,Fast Lane,71.04166666666667,2526,1226,22.3592791,114.1751851
AID01124,Slow Lane,46.93333333333333,1882,646,22.3592791,114.1751851
AID01125,Fast Lane,76.65833333333333,2771,1170,22.3634241,114.1798453
AID01125,Slow Lane,71.325,1821,650,22.3634241,114.1798453
AID01126,Fast Lane,76.425,2533,1256,22.36544683,114.1836319
AID01126,Slow Lane,66.125,3041,1054,22.36544683,114.1836319
AID01127,Fast Lane,72.725,2956,1302,22.36700899,114.1859817
AID01127,Slow Lane,66.14166666666667,3014,1125,22.36700899,114.1859817
AID01128,Fast Lane,78.3,2225,1110,22.37114477,114.1892152
AID01128,Slow Lane,71.86666666666666,2667,967,22.37114477,114.1892152
AID01129,Fast Lane,76.09166666666667,1734,866,22.37381747,114.1929731
AID01129,Slow Lane,69.01666666666667,2811,1078,22.37381747,114.1929731
AID01130,Fast Lane,81.54166666666667,980,528,22.37448544,114.1957016
AID01130,Middle Lane 1,76.33333333333333,801,292,22.37448544,114.1957016
AID01130,Middle Lane 2,73.59166666666667,1273,470,22.37448544,114.1957016
AID01130,Slow Lane,73.63333333333334,1013,350,22.37448544,114.1957016
AID01131,Fast Lane,86.54166666666667,1011,542,22.37624602,114.1986634
AID01131,Slow Lane,76.20833333333333,1470,615,22.37624602,114.1986634
AID01132,Fast Lane,83.34166666666667,959,505,22.3809075,114.2005981
AID01132,Middle Lane,73.55833333333334,1618,638,22.3809075,114.2005981
AID01132,Slow Lane,71.24166666666666,739,251,22.3809075,114.2005981
AID01133,Fast Lane,84.3,1039,564,22.38371,114.20142
AID01133,Slow Lane,72.41666666666667,1475,547,22.38371,114.20142
AID01134,Fast Lane,82.84166666666667,865,598,22.38752486,114.2006753
AID01134,Slow Lane,75.5,1095,494,22.38752486,114.2006753
AID01135,Fast Lane,77.26666666666667,1131,495,22.39016201,114.1990055
AID01135,Slow Lane,83.41666666666667,933,610,22.39016201,114.1990055
AID01136,Fast Lane,73.65833333333333,1759,792,22.39401803,114.1990838
AID01136,Slow Lane,71.95,1720,666,22.39401803,114.1990838
AID01201,Fast Lane,59.85,2758,1010,22.34566999,114.1815632
AID01201,Slow Lane,46.85,4212,1286,22.34566999,114.1815632
AID01202,Fast Lane,57.766666666666666,2147,766,22.3424,114.17875
AID01202,Slow Lane,52.891666666666666,1172,345,22.3424,114.17875
AID01203,Fast Lane,63.41666666666666,1402,735,22.33891517,114.1791653
AID01203,Slow Lane,60.05833333333333,1491,604,22.33891517,114.1791653
AID01204,Fast Lane,29.70833333333333,5727,827,22.33496881,114.1789128
AID01204,Middle Lane,31.825,5474,613,22.33496881,114.1789128
AID01204,Slow Lane,32.31666666666667,4739,563,22.33496881,114.1789128
AID01206,Fast Lane,44.85,4636,1331,22.32842165,114.1786021
AID01206,Slow Lane,45.925,3597,1014,22.32842165,114.1786021
AID01207,Fast Lane,65.03333333333333,1914,898,22.32398763,114.1782818
AID01207,Middle Lane 1,44.09166666666667,2379,623,22.32398763,114.1782818
AID01207,Middle Lane 2,58.125,2354,920,22.32398763,114.1782818
