detectorID,laneType,speed,totalOccupancy,totalVolume,Latitude,Longitude
AID01101,Fast Lane,70.83333333333333,37,17,22.248091,114.152525
AID01101,Middle Lane,65.9,189,70,22.248091,114.152525
AID01101,Slow Lane,67.3,63,14,22.248091,114.152525
AID01102,Fast Lane,71.01666666666667,18,10,22.24712681,114.1577149
AID01102,Middle Lane,69.21666666666667,191,67,22.24712681,114.1577149
AID01102,Slow Lane,69.725,83,25,22.24712681,114.1577149
AID01103,Fast Lane,52.3,69,29,22.24863539,114.1621481
AID01103,Middle Lane,57.175,293,103,22.24863539,114.1621481
AID01103,Slow Lane,48.175,171,23,22.24863539,114.1621481
AID01104,Fast Lane,51.73333333333333,77,32,22.24837379,114.1658151
AID01104,Slow Lane,56.54166666666666,229,71,22.24837379,114.1658151
AID01105,Fast Lane,52.7,90,36,22.2496834,114.1686381
AID01105,Slow Lane,55.43333333333333,169,66,22.2496834,114.1686381
AID01106,Fast Lane,52.79166666666666,248,80,22.25044211,114.1718782
AID01106,Slow Lane,50.5,275,69,22.25044211,114.1718782
AID01107,Fast Lane,59.35,251,88,22.24999065,114.1762923
AID01107,Slow Lane,55.21666666666667,230,53,22.24999065,114.1762923
AID01108,Fast Lane,67.53333333333333,274,97,22.27186288,114.1801247
AID01108,Slow Lane,70.20833333333333,39,15,22.27186288,114.1801247
AID01109,Fast Lane,69.56666666666666,271,91,22.27659491,114.1810758
AID01109,Middle Lane,64.79166666666667,147,39,22.27659491,114.1810758
AID01109,Slow Lane,66.35,122,27,22.27659491,114.1810758
AID01110,Fast Lane,67.66666666666667,258,88,22.279356,114.181217
AID01110,Middle Lane,66.23333333333333,246,96,22.279356,114.181217
AID01110,Slow Lane,64.39166666666667,279,96,22.279356,114.181217
AID01111,Fast Lane,67.775,561,205,22.30412026,114.1809989
AID01111,Middle Lane 1,58.90833333333333,476,188,22.30412026,114.1809989
AID01111,Middle Lane 2,63.30833333333333,388,133,22.30412026,114.1809989
AID01111,Slow Lane,58.96666666666667,625,220,22.30412026,114.1809989
AID01112,Fast Lane,60.24166666666667,505,172,22.30492398,114.1813386
AID01112,Middle Lane 1,56.79166666666666,409,133,22.30492398,114.1813386
AID01112,Middle Lane 2,61.00833333333333,523,169,22.30492398,114.1813386
AID01112,Slow Lane,47.31666666666667,1137,290,22.30492398,114.1813386
AID01113,Fast Lane,70.44166666666666,206,82,22.31029,114.17816
AID01113,Middle Lane,66.7,421,146,22.31029,114.17816
AID01113,Slow Lane,66.81666666666666,206,44,22.31029,114.17816
AID01114,Fast Lane,69.3,245,94,22.31330444,114.1769423
AID01114,Middle Lane,65.1,362,118,22.31330444,114.1769423
AID01114,Slow Lane,65.525,202,39,22.31330444,114.1769423
AID01115,Fast Lane,68.53333333333333,239,101,22.31850605,114.1789805
AID01115,Middle Lane,63.65833333333333,255,98,22.31850605,114.1789805
AID01115,Slow Lane,61.93333333333333,297,93,22.31850605,114.1789805
AID01116,Fast Lane,63.11666666666667,205,88,22.32074565,114.1786797
AID01116,Slow Lane,63.333333333333336,228,88,22.32074565,114.1786797
AID01117,Fast Lane,55.15,205,92,22.32435789,114.1783109
AID01117,Middle Lane 1,49.375,155,40,22.32435789,114.1783109
AID01117,Middle Lane 2,59.66666666666666,614,209,22.32435789,114.1783109
AID01117,Slow Lane,49.9,95,35,22.32435789,114.1783109
AID01118,Fast Lane,57.74166666666667,168,57,22.32843068,114.178476
AID01118,Middle Lane,60.91666666666666,644,236,22.32843068,114.178476
AID01118,Slow Lane,49.46666666666667,135,44,22.32843068,114.178476
AID01120,Fast Lane,56.425,297,107,22.33496881,114.1788837
AID01120,Middle Lane,54.00833333333333,527,172,22.33496881,114.1788837
AID01120,Slow Lane,49.35833333333333,280,66,22.33496881,114.1788837
AID01121,Fast Lane,64.76666666666667,342,139,22.33848171,114.1791459
AID01121,Slow Lane,58.96666666666667,388,134,22.33848171,114.1791459
AID01122,Fast Lane,58.4,369,162,22.34191,114.17893
AID01122,Slow Lane,56.675,333,126,22.34191,114.17893
