detectorID,laneType,speed,totalOccupancy,totalVolume,Latitude,Longitude
AID01101,Fast Lane,72.65,311,128,22.248091,114.152525
AID01101,Middle Lane,60.98333333333333,814,263,22.248091,114.152525
AID01101,Slow Lane,59.59166666666667,313,72,22.248091,114.152525
AID01102,Fast Lane,63.583333333333336,218,86,22.24712681,114.1577149
AID01102,Middle Lane,68.75,725,252,22.24712681,114.1577149
AID01102,Slow Lane,65.85,430,198,22.24712681,114.1577149
AID01103,Fast Lane,69.48333333333333,467,185,22.24863539,114.1621481
AID01103,Middle Lane,66.275,953,307,22.24863539,114.1621481
AID01103,Slow Lane,53.141666666666666,638,108,22.24863539,114.1621481
AID01104,Fast Lane,55.583333333333336,530,202,22.24837379,114.1658151
AID01104,Slow Lane,59.958333333333336,728,226,22.24837379,114.1658151
AID01105,Fast Lane,55.36666666666667,533,208,22.2496834,114.1686381
AID01105,Slow Lane,55.91666666666666,652,229,22.2496834,114.1686381
AID01106,Fast Lane,55.15,1036,357,22.25044211,114.1718782
AID01106,Slow Lane,48.65833333333333,757,176,22.25044211,114.1718782
AID01107,Fast Lane,66.25,989,330,22.24999065,114.1762923
AID01107,Slow Lane,51.05,739,160,22.24999065,114.1762923
AID01108,Fast Lane,71.59166666666667,799,332,22.27186288,114.1801247
AID01108,Slow Lane,69.88333333333334,234,73,22.27186288,114.1801247
AID01109,Fast Lane,64.46666666666667,959,343,22.27659491,114.1810758
AID01109,Middle Lane,54.43333333333333,865,250,22.27659491,114.1810758
AID01109,Slow Lane,51.79166666666666,1220,262,22.27659491,114.1810758
AID01110,Fast Lane,60.96666666666667,1219,415,22.279356,114.181217
AID01110,Middle Lane,46.86666666666667,1583,474,22.279356,114.181217
AID01110,Slow Lane,56.75833333333333,1093,322,22.279356,114.181217
AID01111,Fast Lane,63.35,2108,743,22.30412026,114.1809989
AID01111,Middle Lane 1,55.75,1685,530,22.30412026,114.1809989
AID01111,Middle Lane 2,59.15833333333333,1310,381,22.30412026,114.1809989
AID01111,Slow Lane,49.975,1644,526,22.30412026,114.1809989
AID01112,Fast Lane,56.44166666666667,2038,616,22.30492398,114.1813386
AID01112,Middle Lane 1,48.30833333333333,1471,390,22.30492398,114.1813386
AID01112,Middle Lane 2,58.725,1798,535,22.30492398,114.1813386
AID01112,Slow Lane,42.13333333333333,3277,737,22.30492398,114.1813386
AID01113,Fast Lane,73.34166666666667,896,365,22.31029,114.17816
AID01113,Middle Lane,67.475,1223,465,22.31029,114.17816
AID01113,Slow Lane,66.80833333333334,631,105,22.31029,114.17816
AID01114,Fast Lane,68.64166666666667,827,336,22.31330444,114.1769423
AID01114,Middle Lane,62.925,1201,434,22.31330444,114.1769423
AID01114,Slow Lane,58.71666666666667,658,182,22.31330444,114.1769423
