detectorID,laneType,speed,totalOccupancy,totalVolume,Latitude,Longitude
AID01101,Fast Lane,63.725,529,205,22.248091,114.152525
AID01101,Middle Lane,55.875,944,328,22.248091,114.152525
AID01101,Slow Lane,53.641666666666666,603,153,22.248091,114.152525
AID01102,Fast Lane,71.46666666666667,346,139,22.24712681,114.1577149
AID01102,Middle Lane,68.875,945,365,22.24712681,114.1577149
AID01102,Slow Lane,64.9,585,229,22.24712681,114.1577149
AID01103,Fast Lane,58.04166666666666,776,287,22.24863539,114.1621481
AID01103,Middle Lane,64.93333333333334,1359,444,22.24863539,114.1621481
AID01103,Slow Lane,53.1,752,144,22.24863539,114.1621481
AID01104,Fast Lane,55.5,820,308,22.24837379,114.1658151
AID01104,Slow Lane,63.458333333333336,993,309,22.24837379,114.1658151
AID01105,Fast Lane,63.48333333333333,840,330,22.2496834,114.1686381
AID01105,Slow Lane,60.69166666666667,863,291,22.2496834,114.1686381
AID01106,Fast Lane,48.68333333333333,1650,506,22.25044211,114.1718782
AID01106,Slow Lane,48.63333333333333,931,211,22.25044211,114.1718782
AID01107,Fast Lane,63.333333333333336,1636,514,22.24999065,114.1762923
AID01107,Slow Lane,47.04166666666666,854,163,22.24999065,114.1762923
AID01108,Fast Lane,61.266666666666666,1156,446,22.27186288,114.1801247
AID01108,Slow Lane,65.2,580,175,22.27186288,114.1801247
AID01109,Fast Lane,61.00833333333333,1413,422,22.27659491,114.1810758
AID01109,Middle Lane,58.891666666666666,914,240,22.27659491,114.1810758
AID01109,Slow Lane,49.40833333333333,2542,542,22.27659491,114.1810758
AID01110,Fast Lane,59.60833333333333,1533,482,22.279356,114.181217
AID01110,Middle Lane,50.15,2859,789,22.279356,114.181217
AID01110,Slow Lane,50.125,1972,517,22.279356,114.181217
AID01111,Fast Lane,59.766666666666666,2109,736,22.30412026,114.1809989
AID01111,Middle Lane 1,50.63333333333333,1898,565,22.30412026,114.1809989
AID01111,Middle Lane 2,60.03333333333333,1422,430,22.30412026,114.1809989
AID01111,Slow Lane,48.925,1770,542,22.30412026,114.1809989
AID01112,Fast Lane,54.583333333333336,2138,650,22.30492398,114.1813386
AID01112,Middle Lane 1,45.333333333333336,1638,451,22.30492398,114.1813386
AID01112,Middle Lane 2,58.80833333333333,1830,538,22.30492398,114.1813386
AID01112,Slow Lane,41.475,3439,664,22.30492398,114.1813386
AID01113,Fast Lane,70.16666666666667,1074,408,22.31029,114.17816
AID01113,Middle Lane,65.59166666666667,1492,524,22.31029,114.17816
AID01113,Slow Lane,65.325,866,79,22.31029,114.17816
AID01114,Fast Lane,67.18333333333334,954,382,22.31330444,114.1769423
AID01114,Middle Lane,61.23333333333333,1483,529,22.31330444,114.1769423
AID01114,Slow Lane,57.775,813,245,22.31330444,114.1769423
AID01115,Fast Lane,65.38333333333334,1106,402,22.31850605,114.1789805
AID01115,Middle Lane,59.95,861,315,22.31850605,114.1789805
AID01115,Slow Lane,48.766666666666666,1234,366,22.31850605,114.1789805
AID01116,Fast Lane,69.13333333333334,926,380,22.32074565,114.1786797
AID01116,Slow Lane,67.00833333333334,782,273,22.32074565,114.1786797
AID01117,Fast Lane,55.30833333333333,1017,383,22.32435789,114.1783109
AID01117,Middle Lane 1,46.65833333333333,1208,280,22.32435789,114.1783109
AID01117,Middle Lane 2,58.766666666666666,1867,588,22.32435789,114.1783109
AID01117,Slow Lane,40.25833333333333,1241,180,22.32435789,114.1783109
AID01118,Fast Lane,60.78333333333333,927,301,22.32843068,114.178476
AID01118,Middle Lane,54.75,1940,621,22.32843068,114.178476
AID01118,Slow Lane,44.458333333333336,721,185,22.32843068,114.178476
AID01120,Fast Lane,55.925,1103,380,22.33496881,114.1788837
AID01120,Middle Lane,53.46666666666667,1374,430,22.33496881,114.1788837
AID01120,Slow Lane,43.94166666666667,1526,296,22.33496881,114.1788837
AID01121,Fast Lane,68.24166666666666,1207,456,22.33848171,114.1791459
AID01121,Slow Lane,61.69166666666667,715,261,22.33848171,114.1791459
AID01122,Fast Lane,58.65833333333333,1366,492,22.34191,114.17893
AID01122,Slow Lane,60.04166666666666,638,219,22.34191,114.17893
AID01123,Fast Lane,44.11666666666667,3029,783,22.34521846,114.1813302
